Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,42.1 °F,36.6 °F,21.9 °F,45%,29.79 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,46.0 °F,39.3 °F,21.0 °F,37%,29.78 in,10.0 mi,West,16.1 mph,29.9 mph,N/A,	 ,Mostly Cloudy
2:53 AM,45.0 °F,39.7 °F,21.0 °F,39%,29.77 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,39.9 °F,32.9 °F,21.9 °F,49%,29.79 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:15 AM,27.0 °F,16.1 °F,24.1 °F,89%,29.89 in,0.8 mi,NE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
4:19 AM,27.0 °F,15.6 °F,24.1 °F,89%,29.90 in,0.2 mi,NE,13.8 mph,  -,N/A,Fog,Light Freezing Fog
4:26 AM,26.1 °F,13.1 °F,24.1 °F,92%,29.91 in,0.1 mi,NE,17.3 mph,  -,N/A,Fog,Light Freezing Fog
4:35 AM,25.0 °F,11.3 °F,23.0 °F,92%,29.93 in,0.1 mi,NE,18.4 mph,  -,N/A,Fog,Light Freezing Fog
4:40 AM,25.0 °F,9.5 °F,23.0 °F,92%,29.94 in,0.1 mi,NE,24.2 mph,28.8 mph,0.00 in,Fog,Light Freezing Drizzle
4:44 AM,25.0 °F,9.9 °F,21.9 °F,88%,29.94 in,0.1 mi,NE,23.0 mph,29.9 mph,0.00 in,"Fog
	,
Snow",Light Freezing Drizzle
4:53 AM,24.1 °F,9.0 °F,21.9 °F,91%,29.92 in,0.1 mi,NE,21.9 mph,  -,0.00 in,"Fog
	,
Snow",Light Freezing Drizzle
5:53 AM,17.1 °F,-1.4 °F,14.0 °F,88%,30.06 in,0.1 mi,NE,25.3 mph,  -,0.00 in,"Fog
	,
Snow",Light Freezing Drizzle
6:06 AM,16.0 °F,-1.7 °F,12.9 °F,88%,30.06 in,0.5 mi,NE,21.9 mph,33.4 mph,0.00 in,"Fog
	,
Snow",Light Freezing Drizzle
6:21 AM,14.0 °F,-3.9 °F,12.0 °F,92%,30.10 in,0.8 mi,NE,20.7 mph,  -,0.00 in,Snow,Light Freezing Drizzle
6:28 AM,14.0 °F,-2.0 °F,10.9 °F,88%,30.10 in,1.2 mi,ENE,16.1 mph,  -,0.00 in,Snow,Light Snow
6:48 AM,12.2 °F,-5.3 °F,10.4 °F,92%,30.12 in,2.0 mi,East,18.4 mph,  -,0.00 in,Snow,Light Snow
6:53 AM,12.9 °F,-4.4 °F,9.0 °F,84%,30.18 in,2.0 mi,East,18.4 mph,  -,0.00 in,Snow,Light Snow
7:13 AM,12.0 °F,-4.5 °F,9.0 °F,88%,30.15 in,1.5 mi,ENE,16.1 mph,  -,0.00 in,Snow,Light Snow
