Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:00 AM,21.9 °F,12.5 °F,19.9 °F,92%,30.19 in,0.2 mi,West,8.1 mph,  -,N/A,Fog,Light Freezing Fog
12:10 AM,23.0 °F,13.1 °F,21.0 °F,92%,30.19 in,0.1 mi,West,9.2 mph,  -,N/A,Fog,Light Freezing Fog
12:22 AM,23.0 °F,12.4 °F,19.9 °F,88%,30.18 in,0.2 mi,West,10.4 mph,  -,N/A,Fog,Light Freezing Fog
12:39 AM,23.0 °F,13.1 °F,19.9 °F,88%,30.18 in,0.2 mi,West,9.2 mph,  -,0.00 in,"Fog
	,
Snow",Light Snow
12:53 AM,23.0 °F,13.1 °F,21.0 °F,92%,30.25 in,0.2 mi,West,9.2 mph,  -,0.00 in,Fog,Light Freezing Fog
12:59 AM,23.0 °F,14.7 °F,21.0 °F,92%,30.18 in,0.5 mi,West,6.9 mph,  -,N/A,Fog,Light Freezing Fog
1:11 AM,23.0 °F,13.1 °F,21.0 °F,92%,30.17 in,0.2 mi,West,9.2 mph,  -,N/A,Fog,Light Freezing Fog
1:19 AM,23.0 °F,14.7 °F,21.0 °F,92%,30.17 in,0.5 mi,West,6.9 mph,  -,N/A,Fog,Light Freezing Fog
1:26 AM,23.0 °F,11.1 °F,21.0 °F,92%,30.17 in,0.2 mi,WSW,12.7 mph,  -,N/A,Fog,Light Freezing Fog
1:34 AM,23.0 °F,12.4 °F,19.9 °F,88%,30.17 in,0.2 mi,West,10.4 mph,  -,N/A,Fog,Light Freezing Fog
1:53 AM,23.0 °F,12.4 °F,21.0 °F,92%,30.25 in,0.2 mi,West,10.4 mph,  -,N/A,Fog,Light Freezing Fog
2:42 AM,21.9 °F,13.4 °F,19.9 °F,92%,30.17 in,0.1 mi,NW,6.9 mph,  -,N/A,Fog,Light Freezing Fog
2:53 AM,21.9 °F,12.5 °F,19.9 °F,92%,30.24 in,0.1 mi,NW,8.1 mph,  -,N/A,Fog,Light Freezing Fog
3:49 AM,21.2 °F,12.6 °F,19.4 °F,93%,30.17 in,0.1 mi,NW,6.9 mph,  -,N/A,Fog,Light Freezing Fog
