Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,44.1 °F,35.9 °F,25.0 °F,47%,29.65 in,10.0 mi,SSW,19.6 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,41.0 °F,33.9 °F,26.1 °F,55%,29.65 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,37.0 °F,31.0 °F,25.0 °F,62%,29.66 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Scattered Clouds
3:53 AM,39.0 °F,34.8 °F,26.1 °F,60%,29.68 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,37.9 °F,34.4 °F,25.0 °F,60%,29.70 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,28.9 °F,21.1 °F,21.9 °F,75%,29.76 in,10.0 mi,NE,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,27.0 °F,16.7 °F,21.9 °F,81%,29.80 in,10.0 mi,SE,11.5 mph,  -,N/A,	 ,Scattered Clouds
7:53 AM,30.9 °F,22.2 °F,25.0 °F,79%,29.81 in,10.0 mi,SE,10.4 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,37.0 °F,29.8 °F,25.0 °F,62%,29.81 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,39.9 °F,32.1 °F,24.1 °F,53%,29.81 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,43.0 °F,36.8 °F,23.0 °F,45%,29.83 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,46.0 °F,43.1 °F,23.0 °F,40%,29.82 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,45.0 °F,41.8 °F,23.0 °F,42%,29.81 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,46.9 °F,  -,21.9 °F,37%,29.83 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:53 PM,43.0 °F,37.7 °F,18.0 °F,37%,29.89 in,10.0 mi,NNE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,39.9 °F,32.5 °F,25.0 °F,55%,29.94 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Mostly Cloudy
4:38 PM,41.0 °F,32.8 °F,17.1 °F,38%,29.99 in,10.0 mi,North,16.1 mph,23.0 mph,N/A,	 ,Mostly Cloudy
4:53 PM,39.9 °F,31.4 °F,16.0 °F,38%,29.98 in,10.0 mi,North,16.1 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,35.1 °F,24.1 °F,19.9 °F,54%,30.08 in,10.0 mi,NE,19.6 mph,29.9 mph,N/A,	 ,Mostly Cloudy
6:49 PM,28.4 °F,14.7 °F,21.2 °F,74%,30.11 in,2.0 mi,ENE,21.9 mph,33.4 mph,0.00 in,Snow,Light Snow
6:53 PM,28.0 °F,14.6 °F,23.0 °F,81%,30.18 in,2.0 mi,ENE,20.7 mph,31.1 mph,0.00 in,Snow,Light Snow
7:01 PM,28.0 °F,14.3 °F,24.1 °F,85%,30.11 in,4.0 mi,ENE,21.9 mph,29.9 mph,0.00 in,Snow,Light Snow
7:09 PM,27.0 °F,13.5 °F,23.0 °F,85%,30.11 in,6.0 mi,ENE,19.6 mph,  -,0.00 in,Snow,Light Snow
7:53 PM,27.0 °F,15.6 °F,21.0 °F,78%,30.22 in,9.0 mi,ENE,13.8 mph,  -,0.00 in,Snow,Light Snow
8:22 PM,27.0 °F,16.7 °F,21.0 °F,78%,30.18 in,9.0 mi,ENE,11.5 mph,  -,0.00 in,Snow,Light Snow
8:32 PM,27.0 °F,15.6 °F,21.9 °F,81%,30.20 in,2.0 mi,NE,13.8 mph,23.0 mph,0.00 in,Snow,Light Snow
8:44 PM,25.0 °F,12.2 °F,19.9 °F,81%,30.22 in,2.0 mi,NNE,16.1 mph,  -,0.00 in,Snow,Light Snow
8:53 PM,25.0 °F,14.2 °F,21.0 °F,85%,30.28 in,1.2 mi,NNE,11.5 mph,  -,0.00 in,Snow,Light Snow
8:58 PM,25.0 °F,13.6 °F,21.0 °F,85%,30.23 in,1.0 mi,NNE,12.7 mph,  -,0.00 in,Snow,Light Snow
9:05 PM,24.1 °F,12.0 °F,21.0 °F,88%,30.24 in,1.0 mi,NE,13.8 mph,  -,0.01 in,Snow,Light Snow
9:22 PM,24.1 °F,11.0 °F,19.9 °F,84%,30.26 in,2.0 mi,NNE,16.1 mph,  -,0.01 in,Snow,Light Snow
9:42 PM,23.0 °F,10.1 °F,19.9 °F,88%,30.27 in,2.0 mi,NNE,15.0 mph,  -,0.02 in,Snow,Light Snow
9:53 PM,21.9 °F,8.7 °F,18.0 °F,85%,30.32 in,2.0 mi,NNE,15.0 mph,  -,0.02 in,Snow,Light Snow
10:07 PM,21.0 °F,8.1 °F,18.0 °F,88%,30.28 in,2.0 mi,NNE,13.8 mph,  -,0.00 in,Snow,Light Snow
10:53 PM,19.9 °F,6.7 °F,17.1 °F,89%,30.33 in,2.0 mi,NE,13.8 mph,  -,0.00 in,	 ,Overcast
11:35 PM,17.1 °F,4.3 °F,14.0 °F,88%,30.29 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Scattered Clouds
11:53 PM,16.0 °F,6.3 °F,12.9 °F,88%,30.35 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Scattered Clouds
