Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:03 AM,26.1 °F,  -,19.0 °F,75%,30.08 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
12:53 AM,25.0 °F,14.2 °F,18.0 °F,75%,30.09 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Overcast
1:07 AM,25.0 °F,14.8 °F,18.0 °F,75%,30.09 in,7.0 mi,ENE,10.4 mph,  -,0.00 in,Snow,Light Snow
1:37 AM,24.1 °F,15.2 °F,19.0 °F,81%,30.07 in,2.0 mi,East,8.1 mph,  -,0.00 in,Snow,Light Snow
1:51 AM,24.8 °F,16.9 °F,19.4 °F,80%,30.07 in,3.0 mi,East,6.9 mph,  -,0.01 in,Snow,Light Snow
1:53 AM,24.1 °F,15.2 °F,19.9 °F,84%,30.09 in,3.0 mi,East,8.1 mph,  -,0.01 in,Snow,Light Snow
2:14 AM,24.1 °F,17.0 °F,19.9 °F,84%,30.08 in,9.0 mi,ESE,5.8 mph,  -,0.00 in,Snow,Light Snow
2:53 AM,24.1 °F,15.2 °F,19.9 °F,84%,30.08 in,9.0 mi,ESE,8.1 mph,  -,0.00 in,Snow,Light Snow
3:53 AM,24.1 °F,14.4 °F,19.9 °F,84%,30.08 in,10.0 mi,ESE,9.2 mph,  -,0.00 in,	 ,Overcast
4:53 AM,24.1 °F,13.7 °F,19.9 °F,84%,30.12 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Overcast
5:53 AM,25.0 °F,15.5 °F,19.9 °F,81%,30.13 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Overcast
6:07 AM,24.1 °F,13.1 °F,19.9 °F,84%,30.07 in,10.0 mi,ESE,11.5 mph,  -,N/A,	 ,Overcast
6:19 AM,24.1 °F,12.0 °F,19.0 °F,81%,30.08 in,10.0 mi,ESE,13.8 mph,  -,N/A,	 ,Overcast
6:30 AM,25.0 °F,13.6 °F,19.9 °F,81%,30.08 in,10.0 mi,ESE,12.7 mph,  -,0.00 in,Snow,Light Snow
6:53 AM,24.1 °F,12.5 °F,18.0 °F,77%,30.17 in,9.0 mi,ESE,12.7 mph,  -,0.00 in,Snow,Light Snow
7:53 AM,25.0 °F,13.1 °F,19.9 °F,81%,30.20 in,7.0 mi,East,13.8 mph,  -,0.00 in,Snow,Light Snow
8:53 AM,27.0 °F,16.1 °F,21.0 °F,78%,30.22 in,3.0 mi,East,12.7 mph,  -,0.00 in,Snow,Light Snow
9:45 AM,28.0 °F,19.3 °F,21.0 °F,75%,30.18 in,2.0 mi,East,9.2 mph,  -,0.00 in,Snow,Light Snow
9:53 AM,28.9 °F,19.2 °F,21.9 °F,75%,30.25 in,2.0 mi,East,11.5 mph,  -,0.00 in,Snow,Light Snow
10:11 AM,28.9 °F,20.4 °F,23.0 °F,78%,30.19 in,2.0 mi,East,9.2 mph,  -,0.00 in,Snow,Light Snow
10:38 AM,30.0 °F,20.0 °F,23.0 °F,75%,30.20 in,3.0 mi,ENE,12.7 mph,  -,0.00 in,Snow,Light Snow
10:53 AM,30.0 °F,21.1 °F,23.0 °F,75%,30.28 in,3.0 mi,ENE,10.4 mph,  -,0.01 in,Snow,Light Snow
11:38 AM,30.0 °F,21.7 °F,23.0 °F,75%,30.22 in,5.0 mi,ENE,9.2 mph,  -,0.00 in,Snow,Light Snow
11:53 AM,30.0 °F,21.1 °F,23.0 °F,75%,30.29 in,5.0 mi,ENE,10.4 mph,  -,0.00 in,Snow,Light Snow
12:53 PM,30.9 °F,21.7 °F,23.0 °F,72%,30.27 in,10.0 mi,NE,11.5 mph,  -,0.00 in,	 ,Overcast
1:41 PM,30.9 °F,26.2 °F,21.0 °F,67%,30.19 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Overcast
1:53 PM,30.9 °F,24.3 °F,21.9 °F,69%,30.26 in,10.0 mi,NE,6.9 mph,  -,N/A,	 ,Overcast
2:53 PM,32.0 °F,25.6 °F,21.0 °F,64%,30.27 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,32.0 °F,27.5 °F,19.0 °F,59%,30.27 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,30.0 °F,24.1 °F,19.9 °F,66%,30.29 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:11 PM,28.0 °F,20.8 °F,21.9 °F,78%,30.21 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,25.0 °F,17.1 °F,21.0 °F,85%,30.31 in,10.0 mi,NE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
