Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,19.0 °F,  -,15.1 °F,85%,30.13 in,5.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1:53 AM,16.0 °F,7.4 °F,12.0 °F,84%,30.14 in,3.0 mi,SSW,5.8 mph,  -,N/A,	 ,Clear
2:40 AM,17.1 °F,10.0 °F,12.9 °F,84%,30.01 in,2.5 mi,SSW,4.6 mph,  -,N/A,	 ,Clear
2:53 AM,12.9 °F,5.2 °F,10.0 °F,88%,30.15 in,2.5 mi,WSW,4.6 mph,  -,N/A,	 ,Clear
3:35 AM,12.9 °F,6.9 °F,10.0 °F,88%,30.00 in,3.0 mi,ESE,3.5 mph,  -,N/A,	 ,Clear
3:53 AM,10.9 °F,2.9 °F,8.1 °F,88%,30.16 in,4.0 mi,SSE,4.6 mph,  -,N/A,	 ,Clear
4:53 AM,15.1 °F,  -,12.0 °F,88%,30.16 in,4.0 mi,Calm,Calm,  -,N/A,	 ,Clear
5:43 AM,12.0 °F,5.9 °F,9.0 °F,88%,30.03 in,6.0 mi,SW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,16.0 °F,  -,12.0 °F,84%,30.17 in,6.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
6:00 AM,12.9 °F,6.9 °F,10.0 °F,88%,30.03 in,2.0 mi,NNW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:16 AM,14.0 °F,8.2 °F,10.9 °F,88%,30.03 in,1.5 mi,WNW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:31 AM,12.9 °F,  -,10.0 °F,88%,30.03 in,1.8 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
6:41 AM,12.9 °F,  -,10.0 °F,88%,30.03 in,2.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
6:51 AM,10.4 °F,0.8 °F,6.8 °F,85%,30.04 in,0.5 mi,WSW,5.8 mph,  -,N/A,Fog,Light Freezing Fog
6:53 AM,10.9 °F,1.4 °F,7.0 °F,84%,30.19 in,0.5 mi,WSW,5.8 mph,  -,N/A,Fog,Light Freezing Fog
7:53 AM,16.0 °F,6.3 °F,14.0 °F,92%,30.18 in,0.5 mi,SW,6.9 mph,  -,N/A,Fog,Light Freezing Fog
7:55 AM,17.1 °F,7.6 °F,14.0 °F,88%,30.05 in,0.5 mi,WSW,6.9 mph,  -,N/A,Fog,Light Freezing Fog
8:17 AM,18.0 °F,9.8 °F,16.0 °F,92%,30.05 in,0.2 mi,SW,5.8 mph,  -,N/A,Fog,Light Freezing Fog
8:24 AM,19.0 °F,9.0 °F,16.0 °F,88%,30.05 in,0.2 mi,SW,8.1 mph,  -,N/A,Fog,Light Freezing Fog
8:53 AM,19.9 °F,11.1 °F,18.0 °F,92%,30.18 in,0.2 mi,SSW,6.9 mph,  -,N/A,Fog,Light Freezing Fog
9:07 AM,21.0 °F,10.6 °F,18.0 °F,88%,30.05 in,1.0 mi,South,9.2 mph,  -,0.00 in,Snow,Light Snow
9:25 AM,21.0 °F,12.4 °F,18.0 °F,88%,30.04 in,2.0 mi,South,6.9 mph,  -,0.00 in,	 ,Mostly Cloudy
9:53 AM,21.9 °F,13.4 °F,18.0 °F,85%,30.15 in,3.0 mi,ESE,6.9 mph,  -,0.00 in,	 ,Mostly Cloudy
10:53 AM,23.0 °F,13.9 °F,19.0 °F,85%,30.12 in,4.0 mi,SE,8.1 mph,  -,N/A,	 ,Overcast
11:53 AM,26.1 °F,19.4 °F,21.0 °F,81%,30.11 in,5.0 mi,ENE,5.8 mph,  -,N/A,	 ,Haze
12:00 PM,27.0 °F,19.5 °F,21.0 °F,78%,29.99 in,5.0 mi,ENE,6.9 mph,  -,N/A,	 ,Haze
12:53 PM,30.9 °F,22.2 °F,24.1 °F,76%,30.03 in,4.0 mi,NE,10.4 mph,  -,N/A,	 ,Haze
1:53 PM,34.0 °F,25.0 °F,25.0 °F,70%,29.99 in,7.0 mi,NE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
2:23 PM,34.0 °F,24.6 °F,26.1 °F,73%,29.90 in,7.0 mi,NNE,13.8 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,32.0 °F,20.5 °F,24.1 °F,73%,29.99 in,5.0 mi,North,18.4 mph,  -,N/A,	 ,Haze
3:26 PM,28.9 °F,16.5 °F,23.0 °F,78%,29.89 in,2.5 mi,NNW,18.4 mph,  -,0.00 in,Snow,Light Snow
3:41 PM,28.9 °F,16.5 °F,21.9 °F,75%,29.88 in,3.0 mi,North,18.4 mph,  -,0.00 in,Snow,Light Snow
3:48 PM,28.4 °F,15.4 °F,21.2 °F,74%,29.88 in,3.0 mi,NNW,19.6 mph,  -,0.00 in,Snow,Light Snow
3:53 PM,28.9 °F,16.9 °F,21.9 °F,75%,30.01 in,3.0 mi,NNW,17.3 mph,  -,0.00 in,Snow,Light Snow
4:05 PM,28.0 °F,16.1 °F,21.9 °F,78%,29.88 in,3.0 mi,NNW,16.1 mph,  -,0.00 in,	 ,Haze
4:14 PM,27.0 °F,14.3 °F,21.0 °F,78%,29.88 in,3.0 mi,NNW,17.3 mph,  -,0.00 in,	 ,Haze
4:20 PM,27.0 °F,13.9 °F,21.0 °F,78%,29.88 in,2.5 mi,NNW,18.4 mph,  -,0.00 in,	 ,Haze
4:53 PM,26.1 °F,12.7 °F,19.9 °F,78%,30.00 in,2.5 mi,NW,18.4 mph,  -,0.00 in,	 ,Haze
4:56 PM,25.0 °F,12.6 °F,19.9 °F,81%,29.89 in,2.5 mi,NW,15.0 mph,23.0 mph,N/A,	 ,Haze
5:18 PM,25.0 °F,13.6 °F,19.9 °F,81%,29.89 in,2.5 mi,NW,12.7 mph,  -,N/A,	 ,Haze
