Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:27 AM,17.1 °F,7.6 °F,14.0 °F,88%,29.98 in,0.2 mi,ESE,6.9 mph,  -,0.00 in,Snow,Light Freezing Drizzle
12:53 AM,17.1 °F,5.8 °F,14.0 °F,88%,30.08 in,0.2 mi,East,9.2 mph,  -,0.00 in,Snow,Light Freezing Drizzle
1:17 AM,17.1 °F,6.6 °F,14.0 °F,88%,29.96 in,0.2 mi,East,8.1 mph,  -,0.00 in,Snow,Light Snow
1:53 AM,15.1 °F,1.8 °F,12.0 °F,88%,30.05 in,0.2 mi,East,11.5 mph,  -,0.00 in,Snow,Light Snow
2:53 AM,15.1 °F,1.8 °F,12.0 °F,88%,30.03 in,0.2 mi,East,11.5 mph,  -,0.00 in,Snow,Light Snow
3:53 AM,15.1 °F,3.3 °F,12.0 °F,88%,30.02 in,0.2 mi,East,9.2 mph,  -,0.00 in,Snow,Light Snow
4:53 AM,16.0 °F,3.6 °F,12.0 °F,84%,30.04 in,0.2 mi,East,10.4 mph,  -,0.00 in,Snow,Light Snow
5:13 AM,15.1 °F,1.8 °F,12.0 °F,88%,29.89 in,1.5 mi,East,11.5 mph,  -,0.00 in,Snow,Light Snow
5:53 AM,15.1 °F,1.8 °F,12.0 °F,88%,30.03 in,1.5 mi,East,11.5 mph,  -,0.00 in,Snow,Light Snow
6:09 AM,15.1 °F,2.5 °F,10.9 °F,84%,29.87 in,1.5 mi,East,10.4 mph,  -,0.00 in,Snow,Light Snow
6:53 AM,14.0 °F,3.9 °F,10.9 °F,88%,30.04 in,1.5 mi,ENE,6.9 mph,  -,0.00 in,Snow,Light Snow
7:22 AM,14.0 °F,2.9 °F,10.9 °F,88%,29.88 in,1.5 mi,NE,8.1 mph,  -,0.00 in,Snow,Light Snow
7:53 AM,14.0 °F,2.0 °F,10.0 °F,84%,30.04 in,1.5 mi,ENE,9.2 mph,  -,0.00 in,Snow,Light Snow
7:58 AM,14.0 °F,2.9 °F,10.9 °F,88%,29.88 in,3.0 mi,ENE,8.1 mph,  -,0.00 in,Snow,Light Snow
8:20 AM,14.0 °F,1.2 °F,10.0 °F,84%,29.89 in,1.0 mi,NNE,10.4 mph,  -,0.00 in,Snow,Light Snow
8:53 AM,12.9 °F,1.6 °F,9.0 °F,84%,30.05 in,1.0 mi,NNE,8.1 mph,  -,0.00 in,Snow,Light Snow
9:14 AM,12.9 °F,2.6 °F,10.0 °F,88%,29.87 in,1.5 mi,NE,6.9 mph,  -,0.00 in,Snow,Light Snow
9:41 AM,12.9 °F,5.2 °F,10.0 °F,88%,29.86 in,0.8 mi,NE,4.6 mph,  -,0.01 in,Snow,Light Snow
9:53 AM,14.0 °F,3.9 °F,10.0 °F,84%,30.03 in,0.5 mi,NNE,6.9 mph,  -,0.02 in,"Fog
	,
Snow",Light Snow
