Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:37 AM,75.2 °F,66.2 °F,73%,29.96 in,10.0 mi,SSE,13.8 mph,23.0 mph,N/A,	 ,Overcast
12:52 AM,75.0 °F,66.9 °F,76%,29.93 in,10.0 mi,SSE,16.1 mph,21.9 mph,N/A,	 ,Overcast
1:52 AM,73.9 °F,68.0 °F,82%,29.90 in,10.0 mi,SSE,12.7 mph,26.5 mph,0.02 in,Rain,Light Rain
2:10 AM,73.4 °F,68.0 °F,83%,29.93 in,10.0 mi,SSE,16.1 mph,25.3 mph,0.00 in,	 ,Overcast
2:52 AM,73.0 °F,69.1 °F,87%,29.91 in,8.0 mi,SSE,13.8 mph,19.6 mph,0.01 in,Rain,Light Rain
3:52 AM,72.0 °F,69.1 °F,91%,29.87 in,6.0 mi,SE,13.8 mph,20.7 mph,0.05 in,Rain,Light Rain
4:10 AM,71.6 °F,69.8 °F,94%,29.89 in,7.0 mi,SE,12.7 mph,  -,0.02 in,Rain,Light Rain
4:25 AM,71.6 °F,69.8 °F,94%,29.89 in,1.8 mi,SSE,9.2 mph,19.6 mph,0.11 in,Rain,Heavy Rain
4:37 AM,71.6 °F,69.8 °F,94%,29.88 in,4.0 mi,SSE,15.0 mph,20.7 mph,0.15 in,Rain,Rain
4:50 AM,71.6 °F,69.8 °F,94%,29.88 in,4.0 mi,SSE,13.8 mph,23.0 mph,0.21 in,"Rain
	,
Thunderstorm",Heavy Thunderstorms and Rain
4:52 AM,72.0 °F,69.1 °F,91%,29.85 in,2.5 mi,SSE,11.5 mph,23.0 mph,0.22 in,"Rain
	,
Thunderstorm",Heavy Thunderstorms and Rain
5:00 AM,71.6 °F,69.8 °F,94%,29.88 in,4.0 mi,South,11.5 mph,19.6 mph,0.04 in,"Rain
	,
Thunderstorm",Thunderstorms and Rain
5:21 AM,68.0 °F,66.2 °F,94%,29.92 in,0.8 mi,SSW,19.6 mph,29.9 mph,0.18 in,"Rain
	,
Thunderstorm",Heavy Thunderstorms and Rain
5:34 AM,66.2 °F,64.4 °F,94%,29.90 in,2.0 mi,South,16.1 mph,27.6 mph,0.52 in,"Rain
	,
Thunderstorm",Heavy Thunderstorms and Rain
5:48 AM,66.2 °F,64.4 °F,94%,29.91 in,4.0 mi,South,15.0 mph,27.6 mph,0.58 in,"Rain
	,
Thunderstorm",Thunderstorms and Rain
