Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:22 AM,64.4 °F,  -,62.6 °F,94%,29.84 in,4.0 mi,SSW,12.7 mph,  -,0.11 in,"Rain
	,
Thunderstorm",Thunderstorms and Rain
12:34 AM,64.4 °F,  -,62.6 °F,94%,29.86 in,1.8 mi,SSW,15.0 mph,  -,0.25 in,"Rain
	,
Thunderstorm",Heavy Thunderstorms and Rain
12:42 AM,64.4 °F,  -,62.6 °F,94%,29.84 in,5.0 mi,South,6.9 mph,  -,0.39 in,Rain,Rain
12:52 AM,64.0 °F,  -,62.1 °F,93%,29.81 in,3.0 mi,South,8.1 mph,  -,0.45 in,Rain,Heavy Rain
1:49 AM,64.4 °F,  -,60.8 °F,88%,29.81 in,7.0 mi,West,17.3 mph,26.5 mph,0.13 in,Rain,Light Rain
1:52 AM,64.0 °F,  -,61.0 °F,90%,29.80 in,7.0 mi,West,16.1 mph,26.5 mph,0.14 in,Rain,Rain
2:52 AM,62.1 °F,  -,61.0 °F,96%,29.79 in,6.0 mi,West,3.5 mph,  -,0.07 in,Rain,Light Rain
3:03 AM,62.6 °F,  -,60.8 °F,94%,29.80 in,6.0 mi,NW,5.8 mph,  -,0.01 in,Rain,Light Rain
3:52 AM,61.0 °F,  -,60.1 °F,97%,29.78 in,7.0 mi,NW,6.9 mph,  -,0.02 in,Rain,Light Rain
4:52 AM,61.0 °F,  -,59.0 °F,93%,29.69 in,10.0 mi,South,5.8 mph,  -,0.01 in,	 ,Overcast
5:52 AM,61.0 °F,  -,60.1 °F,97%,29.70 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Overcast
6:09 AM,60.8 °F,  -,60.8 °F,100%,29.71 in,7.0 mi,South,3.5 mph,  -,N/A,	 ,Overcast
6:16 AM,60.8 °F,  -,60.8 °F,100%,29.71 in,6.0 mi,South,4.6 mph,  -,N/A,	 ,Overcast
6:52 AM,62.1 °F,  -,60.1 °F,93%,29.70 in,7.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
7:52 AM,62.1 °F,  -,60.1 °F,93%,29.69 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Overcast
7:57 AM,62.6 °F,  -,60.8 °F,94%,29.70 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Overcast
8:43 AM,62.6 °F,  -,60.8 °F,94%,29.70 in,2.0 mi,SW,5.8 mph,  -,0.00 in,Rain,Light Rain
8:50 AM,62.6 °F,  -,60.8 °F,94%,29.71 in,1.5 mi,WSW,6.9 mph,  -,0.02 in,Rain,Rain
8:52 AM,62.1 °F,  -,61.0 °F,96%,29.70 in,1.5 mi,West,8.1 mph,  -,0.02 in,Rain,Rain
