Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,44.1 °F,39.5 °F,43.0 °F,96%,30.02 in,9.0 mi,East,8.1 mph,  -,0.02 in,Rain,Light Rain
1:04 AM,44.1 °F,38.1 °F,43.0 °F,96%,30.00 in,8.0 mi,East,11.5 mph,  -,0.01 in,Rain,Light Rain
1:49 AM,44.6 °F,38.8 °F,42.8 °F,93%,29.97 in,1.0 mi,East,11.5 mph,  -,0.01 in,	 ,Overcast
1:52 AM,44.1 °F,39.0 °F,43.0 °F,96%,29.98 in,1.0 mi,East,9.2 mph,  -,0.01 in,	 ,Overcast
2:52 AM,44.1 °F,40.1 °F,44.1 °F,100%,30.02 in,1.0 mi,ENE,6.9 mph,  -,0.00 in,	 ,Overcast
3:52 AM,44.1 °F,39.0 °F,44.1 °F,100%,30.01 in,1.0 mi,NNE,9.2 mph,  -,0.00 in,	 ,Light Drizzle
4:52 AM,44.1 °F,42.5 °F,44.1 °F,100%,30.01 in,1.0 mi,NNE,3.5 mph,  -,0.00 in,	 ,Light Drizzle
5:52 AM,44.1 °F,40.8 °F,44.1 °F,100%,30.01 in,1.0 mi,NNE,5.8 mph,  -,0.00 in,	 ,Light Drizzle
6:52 AM,45.0 °F,41.2 °F,44.1 °F,97%,30.00 in,1.0 mi,East,6.9 mph,  -,0.00 in,	 ,Overcast
7:52 AM,45.0 °F,  -,45.0 °F,100%,30.01 in,1.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
8:21 AM,46.0 °F,  -,45.0 °F,96%,30.00 in,1.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
8:52 AM,46.0 °F,43.9 °F,45.0 °F,96%,30.02 in,1.5 mi,ESE,4.6 mph,  -,N/A,	 ,Overcast
9:44 AM,46.9 °F,  -,46.0 °F,97%,30.02 in,2.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
9:52 AM,48.0 °F,  -,46.0 °F,93%,30.03 in,2.0 mi,East,4.6 mph,  -,N/A,	 ,Overcast
10:52 AM,48.9 °F,  -,46.9 °F,93%,30.02 in,2.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
11:17 AM,50.0 °F,  -,46.9 °F,89%,30.00 in,2.0 mi,ESE,3.5 mph,  -,N/A,	 ,Overcast
11:37 AM,50.0 °F,  -,46.9 °F,89%,29.99 in,3.0 mi,ENE,5.8 mph,  -,N/A,	 ,Overcast
11:52 AM,51.1 °F,  -,48.0 °F,89%,29.99 in,3.0 mi,East,5.8 mph,  -,N/A,	 ,Overcast
12:52 PM,50.0 °F,  -,48.0 °F,93%,29.96 in,3.0 mi,ESE,4.6 mph,  -,0.01 in,Rain,Light Rain
1:08 PM,50.0 °F,  -,48.9 °F,96%,29.93 in,3.0 mi,ESE,6.9 mph,  -,0.01 in,Rain,Rain
1:48 PM,50.0 °F,  -,48.2 °F,94%,29.93 in,2.0 mi,NNE,6.9 mph,  -,0.06 in,Rain,Rain
1:52 PM,50.0 °F,  -,48.9 °F,96%,29.95 in,2.0 mi,North,8.1 mph,  -,0.08 in,Rain,Rain
2:27 PM,51.1 °F,  -,50.0 °F,96%,29.97 in,1.5 mi,NW,10.4 mph,  -,0.10 in,Rain,Light Rain
2:52 PM,51.1 °F,  -,51.1 °F,100%,29.96 in,1.5 mi,NNE,9.2 mph,  -,0.24 in,Rain,Light Rain
3:38 PM,52.0 °F,  -,51.1 °F,97%,29.93 in,1.5 mi,ENE,8.1 mph,  -,0.05 in,Rain,Light Rain
3:52 PM,52.0 °F,  -,51.1 °F,97%,29.94 in,1.5 mi,East,9.2 mph,  -,0.06 in,Rain,Light Rain
4:13 PM,52.0 °F,  -,51.1 °F,97%,29.92 in,0.5 mi,ENE,8.1 mph,  -,0.00 in,	 ,Overcast
4:52 PM,52.0 °F,  -,51.1 °F,97%,29.92 in,0.5 mi,NE,11.5 mph,  -,0.00 in,	 ,Overcast
5:52 PM,52.0 °F,  -,52.0 °F,100%,29.94 in,0.5 mi,SE,8.1 mph,  -,0.03 in,Rain,Rain
6:22 PM,52.0 °F,  -,52.0 °F,100%,29.95 in,1.5 mi,NE,5.8 mph,  -,0.15 in,Rain,Rain
6:52 PM,53.1 °F,  -,52.0 °F,96%,29.95 in,1.5 mi,ENE,8.1 mph,  -,0.26 in,Rain,Rain
7:52 PM,52.0 °F,  -,51.1 °F,97%,29.93 in,1.5 mi,ENE,12.7 mph,  -,0.16 in,Rain,Light Rain
8:18 PM,52.0 °F,  -,51.1 °F,97%,29.90 in,0.5 mi,East,15.0 mph,  -,0.02 in,Rain,Rain
8:52 PM,52.0 °F,  -,52.0 °F,100%,29.89 in,0.5 mi,East,17.3 mph,  -,0.05 in,Rain,Light Rain
9:52 PM,52.0 °F,  -,52.0 °F,100%,29.86 in,0.5 mi,East,16.1 mph,23.0 mph,0.02 in,Rain,Light Rain
10:52 PM,52.0 °F,  -,52.0 °F,100%,29.87 in,0.5 mi,ESE,16.1 mph,20.7 mph,0.00 in,	 ,Overcast
11:52 PM,52.0 °F,  -,52.0 °F,100%,29.85 in,0.5 mi,East,10.4 mph,  -,0.00 in,	 ,Light Drizzle
