Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,72.0 °F,50.0 °F,46%,29.91 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Overcast
1:52 AM,72.0 °F,48.0 °F,43%,29.91 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Overcast
2:52 AM,71.1 °F,48.0 °F,44%,29.89 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Overcast
3:52 AM,70.0 °F,48.0 °F,46%,29.89 in,10.0 mi,South,6.9 mph,  -,0.00 in,	 ,Overcast
4:52 AM,68.0 °F,51.1 °F,55%,29.92 in,10.0 mi,WSW,11.5 mph,  -,0.00 in,Rain,Light Rain
5:52 AM,61.0 °F,55.9 °F,83%,29.94 in,9.0 mi,WSW,13.8 mph,  -,0.01 in,Rain,Light Rain
6:52 AM,60.1 °F,57.9 °F,93%,29.92 in,10.0 mi,SW,3.5 mph,  -,0.02 in,Rain,Light Rain
7:44 AM,60.1 °F,57.9 °F,93%,29.94 in,3.0 mi,SSE,3.5 mph,  -,0.04 in,Rain,Rain
7:52 AM,60.1 °F,57.9 °F,93%,29.91 in,3.0 mi,South,4.6 mph,  -,0.06 in,Rain,Light Rain
8:34 AM,60.1 °F,57.9 °F,93%,29.92 in,7.0 mi,ESE,5.8 mph,  -,0.01 in,Rain,Light Rain
8:52 AM,60.1 °F,59.0 °F,96%,29.90 in,6.0 mi,SE,8.1 mph,  -,0.01 in,Rain,Light Rain
9:52 AM,60.1 °F,59.0 °F,96%,29.87 in,4.0 mi,SE,10.4 mph,  -,N/A,Rain,Rain
9:57 AM,60.1 °F,59.0 °F,96%,29.87 in,3.0 mi,SE,8.1 mph,  -,0.02 in,Rain,Rain
10:10 AM,60.1 °F,60.1 °F,100%,29.87 in,3.0 mi,SE,9.2 mph,  -,0.05 in,Rain,Light Rain
10:52 AM,61.0 °F,60.1 °F,97%,29.84 in,2.0 mi,SE,11.5 mph,  -,0.14 in,Rain,Rain
11:35 AM,60.1 °F,59.0 °F,96%,29.77 in,2.5 mi,ESE,27.6 mph,40.3 mph,0.11 in,Rain,Light Rain
11:47 AM,60.8 °F,59.0 °F,94%,29.72 in,4.0 mi,ESE,27.6 mph,43.7 mph,0.12 in,Rain,Light Rain
11:52 AM,61.0 °F,60.1 °F,97%,29.70 in,4.0 mi,SE,24.2 mph,41.4 mph,0.12 in,Rain,Light Rain
12:52 PM,63.0 °F,61.0 °F,93%,29.74 in,10.0 mi,SE,10.4 mph,19.6 mph,0.00 in,	 ,Overcast
1:08 PM,64.0 °F,61.0 °F,90%,29.75 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Overcast
1:52 PM,66.0 °F,62.1 °F,87%,29.72 in,10.0 mi,SSE,17.3 mph,26.5 mph,N/A,	 ,Overcast
2:16 PM,66.0 °F,61.0 °F,84%,29.73 in,10.0 mi,SSE,19.6 mph,27.6 mph,N/A,	 ,Overcast
2:52 PM,66.0 °F,62.1 °F,87%,29.70 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Overcast
3:00 PM,66.0 °F,62.1 °F,87%,29.71 in,6.0 mi,SE,9.2 mph,  -,0.00 in,Rain,Light Rain
3:26 PM,66.0 °F,64.0 °F,93%,29.69 in,2.0 mi,SE,12.7 mph,19.6 mph,0.01 in,Rain,Heavy Rain
3:30 PM,66.0 °F,64.0 °F,93%,29.69 in,1.5 mi,SE,12.7 mph,19.6 mph,0.02 in,Rain,Heavy Rain
3:34 PM,66.0 °F,64.0 °F,93%,29.68 in,4.0 mi,SSE,15.0 mph,  -,0.03 in,Rain,Light Rain
3:52 PM,66.0 °F,64.0 °F,93%,29.65 in,6.0 mi,SE,10.4 mph,  -,0.07 in,Rain,Light Rain
3:58 PM,66.0 °F,64.0 °F,93%,29.66 in,6.0 mi,ESE,15.0 mph,20.7 mph,0.00 in,Rain,Light Rain
4:12 PM,66.0 °F,64.0 °F,93%,29.65 in,7.0 mi,South,11.5 mph,20.7 mph,0.01 in,Rain,Light Rain
4:52 PM,66.9 °F,64.9 °F,93%,29.62 in,8.0 mi,South,6.9 mph,  -,0.01 in,	 ,Overcast
5:28 PM,66.9 °F,64.9 °F,93%,29.63 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Overcast
5:52 PM,68.0 °F,64.9 °F,90%,29.60 in,10.0 mi,SSW,10.4 mph,19.6 mph,0.00 in,	 ,Overcast
6:52 PM,68.0 °F,64.0 °F,87%,29.60 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Overcast
7:40 PM,66.9 °F,64.0 °F,90%,29.61 in,10.0 mi,South,11.5 mph,20.7 mph,N/A,	 ,Overcast
7:52 PM,66.9 °F,64.0 °F,90%,29.60 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Overcast
8:52 PM,66.9 °F,63.0 °F,87%,29.57 in,10.0 mi,SSE,10.4 mph,18.4 mph,0.00 in,Rain,Light Rain
9:28 PM,63.0 °F,61.0 °F,93%,29.63 in,3.0 mi,West,15.0 mph,27.6 mph,0.09 in,Rain,Rain
9:42 PM,61.0 °F,59.0 °F,93%,29.63 in,6.0 mi,West,11.5 mph,  -,0.13 in,Rain,Light Rain
9:52 PM,61.0 °F,59.0 °F,93%,29.62 in,7.0 mi,West,9.2 mph,  -,0.14 in,Rain,Light Rain
10:52 PM,60.1 °F,57.9 °F,93%,29.61 in,7.0 mi,West,5.8 mph,  -,0.07 in,Rain,Light Rain
11:18 PM,60.1 °F,59.0 °F,96%,29.60 in,8.0 mi,Calm,Calm,  -,0.01 in,Rain,Light Rain
11:35 PM,57.9 °F,55.0 °F,90%,29.61 in,9.0 mi,West,16.1 mph,25.3 mph,0.01 in,Rain,Light Rain
11:52 PM,57.0 °F,54.0 °F,89%,29.60 in,10.0 mi,West,9.2 mph,  -,0.01 in,	 ,Overcast
