Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:05 AM,66.9 °F,66.9 °F,100%,30.13 in,3.0 mi,ESE,11.5 mph,  -,0.00 in,	 ,Light Drizzle
12:15 AM,66.9 °F,66.9 °F,100%,30.12 in,2.0 mi,ESE,10.4 mph,19.6 mph,0.00 in,	 ,Light Drizzle
12:52 AM,66.9 °F,66.9 °F,100%,30.09 in,2.0 mi,ESE,8.1 mph,  -,0.00 in,	 ,Light Drizzle
1:52 AM,66.9 °F,66.9 °F,100%,30.06 in,2.0 mi,ESE,12.7 mph,16.1 mph,0.02 in,	 ,Light Drizzle
2:52 AM,68.0 °F,68.0 °F,100%,30.03 in,2.0 mi,ESE,6.9 mph,18.4 mph,0.01 in,Rain,Light Rain
3:26 AM,68.0 °F,68.0 °F,100%,30.03 in,2.0 mi,ESE,11.5 mph,  -,0.17 in,Rain,Light Rain
3:52 AM,68.0 °F,68.0 °F,100%,29.99 in,2.0 mi,ESE,11.5 mph,  -,0.17 in,	 ,Overcast
4:10 AM,68.0 °F,68.0 °F,100%,29.99 in,2.0 mi,ESE,10.4 mph,  -,N/A,	 ,Overcast
4:52 AM,68.0 °F,68.0 °F,100%,29.95 in,2.0 mi,SSE,10.4 mph,17.3 mph,0.06 in,Rain,Light Rain
5:52 AM,69.1 °F,69.1 °F,100%,29.92 in,2.0 mi,SE,9.2 mph,  -,0.08 in,Rain,Light Rain
6:07 AM,69.1 °F,69.1 °F,100%,29.93 in,7.0 mi,SE,9.2 mph,  -,0.01 in,Rain,Light Rain
6:33 AM,69.1 °F,69.1 °F,100%,29.93 in,6.0 mi,SE,8.1 mph,  -,0.02 in,Rain,Light Rain
6:52 AM,69.1 °F,69.1 °F,100%,29.91 in,5.0 mi,SE,10.4 mph,  -,0.03 in,Rain,Light Rain
7:52 AM,69.1 °F,69.1 °F,100%,29.91 in,2.0 mi,South,12.7 mph,20.7 mph,0.04 in,Rain,Light Rain
8:45 AM,69.1 °F,69.1 °F,100%,29.90 in,2.0 mi,South,12.7 mph,  -,0.11 in,Rain,Light Rain
8:52 AM,69.1 °F,69.1 °F,100%,29.87 in,2.0 mi,SSE,15.0 mph,21.9 mph,0.12 in,Rain,Rain
9:49 AM,69.8 °F,69.8 °F,100%,29.87 in,3.0 mi,SSE,11.5 mph,  -,0.09 in,Rain,Light Rain
