Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,69.1 °F,53.1 °F,57%,29.96 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Overcast
1:52 AM,68.0 °F,55.0 °F,63%,29.94 in,10.0 mi,SE,11.5 mph,  -,N/A,	 ,Overcast
2:52 AM,66.9 °F,55.9 °F,68%,29.93 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,66.0 °F,59.0 °F,78%,29.91 in,10.0 mi,SE,11.5 mph,  -,N/A,	 ,Overcast
4:11 AM,66.0 °F,60.1 °F,81%,29.93 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Overcast
4:52 AM,66.0 °F,61.0 °F,84%,29.91 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Overcast
4:59 AM,66.0 °F,61.0 °F,84%,29.94 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Overcast
5:52 AM,66.0 °F,62.1 °F,87%,29.87 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Overcast
6:52 AM,66.0 °F,62.1 °F,87%,29.86 in,10.0 mi,SE,12.7 mph,  -,N/A,	 ,Overcast
7:52 AM,66.0 °F,62.1 °F,87%,29.86 in,10.0 mi,SE,11.5 mph,20.7 mph,N/A,	 ,Overcast
8:52 AM,66.0 °F,62.1 °F,87%,29.86 in,9.0 mi,SSE,15.0 mph,  -,0.00 in,Rain,Light Rain
9:06 AM,66.9 °F,62.1 °F,84%,29.88 in,10.0 mi,SSE,13.8 mph,  -,0.00 in,Rain,Light Rain
9:32 AM,66.9 °F,63.0 °F,87%,29.85 in,10.0 mi,SE,11.5 mph,  -,0.00 in,	 ,Overcast
9:52 AM,66.9 °F,63.0 °F,87%,29.82 in,8.0 mi,SSE,12.7 mph,21.9 mph,0.00 in,Rain,Light Rain
10:44 AM,66.9 °F,64.0 °F,90%,29.87 in,10.0 mi,South,13.8 mph,23.0 mph,0.01 in,	 ,Overcast
10:52 AM,66.9 °F,64.9 °F,93%,29.84 in,10.0 mi,South,16.1 mph,23.0 mph,0.01 in,	 ,Overcast
11:23 AM,68.0 °F,64.9 °F,90%,29.87 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Overcast
11:32 AM,68.0 °F,64.9 °F,90%,29.87 in,4.0 mi,South,11.5 mph,24.2 mph,0.01 in,Rain,Light Rain
11:52 AM,68.0 °F,66.0 °F,93%,29.86 in,10.0 mi,SSW,11.5 mph,  -,0.02 in,Thunderstorm,Overcast
11:58 AM,68.0 °F,66.0 °F,93%,29.89 in,10.0 mi,West,18.4 mph,25.3 mph,N/A,Thunderstorm,Thunderstorm
12:02 PM,64.9 °F,62.1 °F,90%,29.93 in,1.0 mi,WNW,25.3 mph,33.4 mph,0.01 in,"Rain
	,
Thunderstorm",Heavy Thunderstorms and Rain
12:07 PM,61.0 °F,59.0 °F,93%,29.93 in,3.0 mi,NW,28.8 mph,35.7 mph,0.05 in,"Rain
	,
Thunderstorm",Thunderstorms and Rain
