Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:47 AM,46.4 °F,42.9 °F,46.4 °F,100%,30.27 in,0.2 mi,East,6.9 mph,  -,0.00 in,	 ,Light Drizzle
12:52 AM,46.9 °F,  -,46.0 °F,97%,30.28 in,0.2 mi,ENE,6.9 mph,  -,0.00 in,	 ,Light Drizzle
1:52 AM,48.0 °F,  -,46.9 °F,96%,30.25 in,2.0 mi,East,15.0 mph,  -,0.01 in,Rain,Light Rain
2:52 AM,48.0 °F,  -,46.0 °F,93%,30.25 in,2.0 mi,East,13.8 mph,  -,0.01 in,Rain,Light Rain
3:52 AM,46.9 °F,  -,46.0 °F,97%,30.26 in,2.0 mi,East,13.8 mph,  -,0.01 in,	 ,Light Drizzle
4:52 AM,46.9 °F,  -,45.0 °F,93%,30.25 in,2.0 mi,East,12.7 mph,  -,0.00 in,Rain,Light Rain
5:52 AM,46.9 °F,  -,45.0 °F,93%,30.26 in,2.0 mi,East,11.5 mph,  -,0.01 in,	 ,Light Drizzle
6:52 AM,46.0 °F,40.6 °F,45.0 °F,96%,30.27 in,2.0 mi,East,11.5 mph,  -,0.01 in,Rain,Light Rain
7:41 AM,46.4 °F,40.7 °F,44.6 °F,93%,30.27 in,1.0 mi,ESE,12.7 mph,19.6 mph,0.00 in,	 ,Light Drizzle
7:52 AM,46.0 °F,41.9 °F,44.1 °F,93%,30.28 in,1.0 mi,East,8.1 mph,  -,0.01 in,Rain,Light Rain
7:56 AM,46.4 °F,40.7 °F,44.6 °F,93%,30.27 in,2.0 mi,East,12.7 mph,  -,0.00 in,Rain,Light Rain
8:09 AM,46.4 °F,42.9 °F,44.6 °F,93%,30.27 in,1.5 mi,East,6.9 mph,  -,0.00 in,Rain,Light Rain
8:43 AM,46.4 °F,40.7 °F,44.6 °F,93%,30.26 in,1.5 mi,ESE,12.7 mph,19.6 mph,0.00 in,	 ,Light Drizzle
8:52 AM,46.0 °F,40.6 °F,44.1 °F,93%,30.27 in,1.5 mi,East,11.5 mph,21.9 mph,0.00 in,Rain,Light Rain
9:52 AM,45.0 °F,40.1 °F,44.1 °F,97%,30.29 in,0.8 mi,East,9.2 mph,18.4 mph,0.01 in,	 ,Light Drizzle
10:32 AM,46.4 °F,41.9 °F,44.6 °F,93%,30.28 in,1.5 mi,ESE,9.2 mph,18.4 mph,0.01 in,	 ,Light Drizzle
10:52 AM,46.0 °F,40.2 °F,44.1 °F,93%,30.30 in,1.5 mi,East,12.7 mph,  -,0.01 in,	 ,Light Drizzle
11:52 AM,46.0 °F,39.9 °F,44.1 °F,93%,30.27 in,1.5 mi,East,13.8 mph,  -,0.00 in,	 ,Light Drizzle
