Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:16 AM,57.2 °F,55.4 °F,94%,30.01 in,6.0 mi,ESE,9.2 mph,  -,N/A,	 ,Overcast
12:39 AM,57.2 °F,55.4 °F,94%,30.02 in,6.0 mi,ESE,6.9 mph,  -,N/A,	 ,Overcast
12:52 AM,57.0 °F,55.0 °F,93%,30.02 in,6.0 mi,SE,10.4 mph,  -,0.00 in,Rain,Light Rain
1:15 AM,57.2 °F,55.4 °F,94%,30.03 in,6.0 mi,SE,6.9 mph,  -,0.00 in,	 ,Overcast
1:52 AM,57.0 °F,55.9 °F,96%,30.00 in,6.0 mi,ESE,3.5 mph,  -,0.00 in,	 ,Overcast
2:52 AM,57.9 °F,55.0 °F,90%,30.01 in,6.0 mi,NNE,4.6 mph,  -,N/A,	 ,Overcast
3:52 AM,57.9 °F,55.0 °F,90%,30.00 in,6.0 mi,ENE,5.8 mph,  -,N/A,	 ,Overcast
4:52 AM,57.0 °F,55.0 °F,93%,29.99 in,6.0 mi,East,4.6 mph,  -,0.00 in,	 ,Overcast
5:52 AM,57.0 °F,55.0 °F,93%,29.99 in,6.0 mi,East,5.8 mph,  -,N/A,	 ,Overcast
6:40 AM,57.2 °F,55.4 °F,94%,30.00 in,6.0 mi,East,4.6 mph,  -,N/A,	 ,Overcast
6:43 AM,57.2 °F,55.4 °F,94%,30.00 in,1.0 mi,Variable,3.5 mph,  -,N/A,	 ,Overcast
6:52 AM,57.0 °F,55.9 °F,96%,30.01 in,1.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
7:19 AM,57.2 °F,55.4 °F,94%,30.03 in,0.2 mi,Calm,Calm,  -,N/A,	 ,Overcast
7:52 AM,57.9 °F,55.9 °F,93%,30.03 in,0.2 mi,Calm,Calm,  -,N/A,	 ,Overcast
8:33 AM,57.2 °F,55.4 °F,94%,30.04 in,0.5 mi,Calm,Calm,  -,N/A,	 ,Overcast
8:42 AM,57.2 °F,57.2 °F,100%,30.05 in,2.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
8:52 AM,57.9 °F,57.0 °F,97%,30.04 in,2.0 mi,SSE,3.5 mph,  -,N/A,	 ,Overcast
9:52 AM,60.1 °F,57.0 °F,90%,30.04 in,3.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
10:52 AM,62.1 °F,57.9 °F,86%,30.04 in,8.0 mi,WNW,5.8 mph,  -,N/A,	 ,Overcast
11:48 AM,64.4 °F,57.2 °F,77%,30.05 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,64.9 °F,57.9 °F,78%,30.04 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:28 PM,64.4 °F,57.2 °F,77%,30.05 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,66.9 °F,57.9 °F,73%,30.03 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
1:52 PM,69.8 °F,57.2 °F,64%,30.02 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:36 PM,69.8 °F,57.2 °F,64%,30.01 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,71.1 °F,57.9 °F,63%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:52 PM,72.0 °F,57.0 °F,59%,29.96 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,73.0 °F,52.0 °F,48%,29.94 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,73.0 °F,55.9 °F,55%,29.92 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,75.0 °F,52.0 °F,44%,29.93 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,72.0 °F,51.1 °F,48%,29.94 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
8:52 PM,68.0 °F,59.0 °F,73%,29.96 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,66.0 °F,60.1 °F,81%,29.97 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,64.9 °F,60.1 °F,84%,29.98 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
11:52 PM,64.0 °F,60.1 °F,87%,29.98 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
