Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,33.8 °F,24.8 °F,23.0 °F,65%,30.01 in,10.0 mi,NNW,12.7 mph,21.9 mph,N/A,	 ,Mostly Cloudy
1:52 AM,34.0 °F,24.6 °F,21.9 °F,61%,30.04 in,10.0 mi,NNW,13.8 mph,21.9 mph,0.00 in,Snow,Light Snow
2:52 AM,33.1 °F,23.0 °F,23.0 °F,66%,30.02 in,9.0 mi,NNW,15.0 mph,  -,0.00 in,Snow,Light Snow
3:45 AM,32.0 °F,21.2 °F,24.8 °F,75%,30.00 in,9.0 mi,NW,16.1 mph,  -,0.00 in,Snow,Light Snow
3:52 AM,32.0 °F,20.8 °F,24.1 °F,73%,30.03 in,9.0 mi,NW,17.3 mph,  -,0.00 in,Snow,Light Snow
4:42 AM,32.0 °F,21.2 °F,21.2 °F,64%,30.00 in,9.0 mi,NW,16.1 mph,21.9 mph,0.00 in,Snow,Light Snow
4:52 AM,32.0 °F,22.1 °F,21.9 °F,66%,30.03 in,9.0 mi,NW,13.8 mph,  -,0.00 in,Snow,Light Snow
5:20 AM,30.2 °F,18.9 °F,19.4 °F,64%,30.00 in,10.0 mi,NW,16.1 mph,20.7 mph,0.00 in,	 ,Scattered Clouds
5:52 AM,30.9 °F,22.2 °F,19.9 °F,64%,30.04 in,10.0 mi,NW,10.4 mph,  -,0.00 in,	 ,Mostly Cloudy
6:52 AM,30.9 °F,22.8 °F,19.0 °F,61%,30.04 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,30.9 °F,20.2 °F,19.0 °F,61%,30.05 in,9.0 mi,NW,15.0 mph,24.2 mph,0.00 in,Snow,Light Snow
8:52 AM,30.9 °F,21.2 °F,19.0 °F,61%,30.06 in,9.0 mi,NNW,12.7 mph,21.9 mph,0.00 in,Snow,Light Snow
9:52 AM,32.0 °F,20.5 °F,19.0 °F,59%,30.07 in,9.0 mi,NW,18.4 mph,21.9 mph,0.00 in,Snow,Light Snow
10:30 AM,33.8 °F,26.4 °F,19.4 °F,56%,30.05 in,7.0 mi,NNW,9.2 mph,19.6 mph,0.00 in,	 ,Mostly Cloudy
10:52 AM,33.1 °F,23.4 °F,19.9 °F,59%,30.08 in,10.0 mi,NNW,13.8 mph,  -,0.00 in,	 ,Overcast
11:27 AM,32.0 °F,23.0 °F,19.4 °F,60%,30.06 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Overcast
11:43 AM,32.0 °F,20.5 °F,19.4 °F,60%,30.06 in,10.0 mi,NW,18.4 mph,21.9 mph,N/A,	 ,Overcast
11:52 AM,33.1 °F,23.4 °F,19.9 °F,59%,30.08 in,10.0 mi,WNW,13.8 mph,  -,N/A,	 ,Overcast
12:09 PM,33.8 °F,23.5 °F,19.4 °F,56%,30.06 in,10.0 mi,WNW,16.1 mph,24.2 mph,N/A,	 ,Overcast
12:52 PM,34.0 °F,23.4 °F,21.0 °F,59%,30.08 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,39.0 °F,29.3 °F,19.9 °F,46%,30.05 in,10.0 mi,NNW,19.6 mph,25.3 mph,N/A,	 ,Scattered Clouds
2:52 PM,41.0 °F,33.1 °F,18.0 °F,40%,30.04 in,10.0 mi,NNW,15.0 mph,21.9 mph,N/A,	 ,Partly Cloudy
3:52 PM,42.1 °F,33.6 °F,18.0 °F,38%,30.04 in,10.0 mi,WNW,18.4 mph,25.3 mph,N/A,	 ,Partly Cloudy
4:52 PM,41.0 °F,32.8 °F,18.0 °F,40%,30.05 in,10.0 mi,NW,16.1 mph,20.7 mph,N/A,	 ,Clear
5:52 PM,39.0 °F,31.4 °F,17.1 °F,41%,30.06 in,10.0 mi,NW,12.7 mph,24.2 mph,N/A,	 ,Clear
6:52 PM,37.0 °F,31.0 °F,17.1 °F,44%,30.07 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
7:52 PM,35.1 °F,31.0 °F,17.1 °F,48%,30.08 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Clear
8:52 PM,33.1 °F,27.7 °F,18.0 °F,54%,30.10 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
9:52 PM,33.1 °F,27.7 °F,18.0 °F,54%,30.11 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
10:52 PM,32.0 °F,26.4 °F,18.0 °F,56%,30.11 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
11:52 PM,30.9 °F,26.2 °F,18.0 °F,59%,30.10 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Partly Cloudy
