Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:16 AM,48.2 °F,  -,35.6 °F,62%,30.01 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Overcast
12:52 AM,48.0 °F,  -,36.0 °F,63%,30.01 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Overcast
1:09 AM,46.4 °F,44.3 °F,37.4 °F,71%,30.00 in,10.0 mi,SE,4.6 mph,  -,0.00 in,Rain,Light Rain
1:41 AM,46.4 °F,43.5 °F,37.4 °F,71%,29.98 in,10.0 mi,ESE,5.8 mph,  -,0.00 in,	 ,Overcast
1:52 AM,46.9 °F,  -,37.0 °F,68%,29.99 in,10.0 mi,ESE,5.8 mph,  -,0.00 in,	 ,Overcast
2:52 AM,46.9 °F,  -,37.0 °F,68%,29.99 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Overcast
3:52 AM,46.9 °F,  -,36.0 °F,66%,29.95 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Overcast
4:52 AM,48.0 °F,  -,36.0 °F,63%,29.94 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Overcast
5:52 AM,46.9 °F,  -,37.0 °F,68%,29.92 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
6:52 AM,46.9 °F,  -,37.0 °F,68%,29.95 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Overcast
7:25 AM,46.4 °F,41.5 °F,39.2 °F,76%,29.99 in,1.5 mi,North,10.4 mph,  -,0.03 in,"Rain
	,
Thunderstorm",Heavy Thunderstorms and Rain
7:37 AM,44.6 °F,39.2 °F,41.0 °F,87%,29.99 in,4.0 mi,NNE,10.4 mph,  -,0.10 in,"Rain
	,
Thunderstorm",Thunderstorms and Rain
7:44 AM,44.6 °F,38.1 °F,41.0 °F,87%,29.97 in,2.5 mi,NE,13.8 mph,  -,0.17 in,Rain,Heavy Rain
7:52 AM,45.0 °F,38.9 °F,41.0 °F,86%,29.99 in,2.5 mi,NE,12.7 mph,  -,0.22 in,Rain,Heavy Rain
8:04 AM,44.6 °F,39.2 °F,41.0 °F,87%,29.99 in,2.5 mi,NE,10.4 mph,  -,0.07 in,"Rain
	,
Thunderstorm",Thunderstorms and Rain
8:28 AM,44.6 °F,38.8 °F,41.0 °F,87%,30.00 in,2.0 mi,East,11.5 mph,  -,0.17 in,Rain,Rain
8:52 AM,44.1 °F,37.4 °F,42.1 °F,93%,29.97 in,2.5 mi,East,13.8 mph,  -,0.24 in,Rain,Light Rain
9:17 AM,44.6 °F,41.4 °F,42.8 °F,93%,30.01 in,2.5 mi,Variable,5.8 mph,  -,0.06 in,"Rain
	,
Thunderstorm",Thunderstorms and Rain
9:29 AM,44.6 °F,39.7 °F,42.8 °F,93%,29.98 in,2.0 mi,East,9.2 mph,  -,0.09 in,"Rain
	,
Thunderstorm",Thunderstorms and Rain
9:52 AM,44.1 °F,41.5 °F,42.1 °F,93%,30.01 in,2.0 mi,ESE,4.6 mph,  -,0.16 in,"Rain
	,
Thunderstorm",Thunderstorms and Rain
10:07 AM,44.6 °F,42.2 °F,42.8 °F,93%,30.00 in,2.0 mi,SE,4.6 mph,  -,0.06 in,Rain,Rain
10:34 AM,44.6 °F,39.2 °F,42.8 °F,93%,29.96 in,1.5 mi,ESE,10.4 mph,  -,0.20 in,Rain,Rain
10:52 AM,45.0 °F,40.1 °F,43.0 °F,93%,29.96 in,2.5 mi,SE,9.2 mph,18.4 mph,0.25 in,Rain,Light Rain
11:14 AM,46.4 °F,41.9 °F,44.6 °F,93%,29.94 in,3.0 mi,SE,9.2 mph,  -,0.00 in,	 ,Overcast
11:52 AM,48.0 °F,  -,45.0 °F,89%,29.96 in,6.0 mi,SSE,4.6 mph,  -,0.00 in,	 ,Overcast
12:52 PM,51.1 °F,  -,46.9 °F,86%,29.94 in,7.0 mi,SE,3.5 mph,  -,N/A,	 ,Overcast
1:52 PM,54.0 °F,  -,48.9 °F,83%,29.93 in,7.0 mi,SSE,3.5 mph,  -,N/A,	 ,Overcast
2:13 PM,53.6 °F,  -,48.2 °F,82%,29.91 in,8.0 mi,East,4.6 mph,  -,N/A,	 ,Overcast
2:52 PM,55.0 °F,  -,48.9 °F,80%,29.89 in,8.0 mi,ENE,6.9 mph,  -,N/A,	 ,Overcast
3:52 PM,55.0 °F,  -,48.9 °F,80%,29.88 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Overcast
4:52 PM,55.9 °F,  -,48.9 °F,77%,29.86 in,9.0 mi,East,6.9 mph,  -,N/A,	 ,Overcast
5:52 PM,55.9 °F,  -,50.0 °F,80%,29.87 in,9.0 mi,East,5.8 mph,  -,N/A,	 ,Overcast
6:52 PM,55.0 °F,  -,48.9 °F,80%,29.85 in,9.0 mi,ENE,13.8 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,54.0 °F,  -,48.9 °F,83%,29.86 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
8:04 PM,53.6 °F,  -,48.2 °F,82%,29.84 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
8:31 PM,53.6 °F,  -,48.2 °F,82%,29.83 in,9.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
8:47 PM,53.6 °F,  -,48.2 °F,82%,29.83 in,9.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
8:52 PM,53.1 °F,  -,48.9 °F,86%,29.83 in,8.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
9:52 PM,53.1 °F,  -,48.9 °F,86%,29.84 in,7.0 mi,ESE,9.2 mph,  -,N/A,	 ,Overcast
10:52 PM,51.1 °F,  -,48.0 °F,89%,29.84 in,6.0 mi,ESE,9.2 mph,17.3 mph,0.00 in,Rain,Light Rain
11:46 PM,50.0 °F,  -,48.2 °F,94%,29.78 in,3.0 mi,East,11.5 mph,  -,0.12 in,Rain,Light Rain
11:52 PM,50.0 °F,  -,48.0 °F,93%,29.79 in,3.0 mi,East,9.2 mph,  -,0.13 in,Rain,Rain
