Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,64.0 °F,37.0 °F,37%,30.01 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,61.0 °F,36.0 °F,39%,30.00 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,60.1 °F,36.0 °F,41%,29.99 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Clear
3:52 AM,60.1 °F,36.0 °F,41%,29.98 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
4:52 AM,55.0 °F,39.0 °F,55%,29.97 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,55.9 °F,37.9 °F,51%,29.98 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,55.0 °F,39.0 °F,55%,29.99 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,57.9 °F,37.0 °F,46%,29.99 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Overcast
8:52 AM,57.0 °F,39.0 °F,51%,30.02 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Overcast
9:52 AM,57.9 °F,39.0 °F,49%,30.03 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
10:52 AM,57.9 °F,42.1 °F,56%,30.02 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
11:52 AM,60.1 °F,43.0 °F,53%,30.04 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Overcast
12:52 PM,57.0 °F,50.0 °F,77%,30.04 in,10.0 mi,SSW,11.5 mph,  -,0.00 in,Rain,Light Rain
1:52 PM,57.0 °F,52.0 °F,83%,30.05 in,7.0 mi,SSW,4.6 mph,  -,0.02 in,Rain,Light Rain
2:52 PM,57.0 °F,53.1 °F,87%,30.05 in,5.0 mi,South,5.8 mph,  -,0.07 in,Rain,Rain
3:28 PM,57.2 °F,53.6 °F,88%,30.05 in,3.0 mi,Variable,3.5 mph,  -,0.10 in,Rain,Rain
3:52 PM,57.0 °F,54.0 °F,89%,30.02 in,5.0 mi,SE,5.8 mph,  -,0.14 in,Rain,Light Rain
4:25 PM,57.2 °F,53.6 °F,88%,30.00 in,5.0 mi,SE,11.5 mph,  -,0.01 in,Rain,Light Rain
4:36 PM,55.4 °F,53.6 °F,94%,29.97 in,6.0 mi,SE,15.0 mph,25.3 mph,0.01 in,Rain,Light Rain
4:42 PM,55.4 °F,51.8 °F,88%,29.97 in,10.0 mi,SE,13.8 mph,23.0 mph,0.01 in,Rain,Light Rain
4:52 PM,55.9 °F,52.0 °F,87%,29.93 in,8.0 mi,ESE,17.3 mph,23.0 mph,0.01 in,Rain,Light Rain
5:11 PM,55.4 °F,53.6 °F,94%,29.90 in,7.0 mi,ESE,17.3 mph,29.9 mph,0.01 in,Rain,Light Rain
5:44 PM,55.4 °F,53.6 °F,94%,29.91 in,10.0 mi,ESE,13.8 mph,24.2 mph,0.01 in,	 ,Overcast
5:52 PM,55.9 °F,52.0 °F,87%,29.92 in,10.0 mi,ESE,16.1 mph,24.2 mph,0.01 in,	 ,Overcast
6:22 PM,55.4 °F,53.6 °F,94%,29.90 in,10.0 mi,East,15.0 mph,21.9 mph,N/A,	 ,Overcast
6:52 PM,57.0 °F,53.1 °F,87%,29.92 in,9.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
7:22 PM,57.2 °F,53.6 °F,88%,29.92 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Overcast
7:52 PM,57.0 °F,53.1 °F,87%,29.91 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
8:11 PM,57.2 °F,53.6 °F,88%,29.92 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Overcast
8:52 PM,57.0 °F,53.1 °F,87%,29.93 in,9.0 mi,ENE,6.9 mph,  -,N/A,	 ,Overcast
9:15 PM,57.2 °F,53.6 °F,88%,29.95 in,9.0 mi,ENE,9.2 mph,  -,N/A,	 ,Overcast
9:52 PM,57.0 °F,53.1 °F,87%,29.95 in,9.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
10:52 PM,57.0 °F,53.1 °F,87%,29.94 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Overcast
11:35 PM,57.2 °F,53.6 °F,88%,29.95 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Overcast
11:52 PM,57.0 °F,53.1 °F,87%,29.94 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Overcast
