Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:01 AM,30.9 °F,23.5 °F,21.9 °F,69%,29.91 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Overcast
12:51 AM,30.0 °F,19.5 °F,23.0 °F,75%,29.93 in,10.0 mi,West,13.8 mph,21.9 mph,N/A,	 ,Overcast
1:09 AM,28.9 °F,17.7 °F,23.0 °F,78%,29.91 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Overcast
1:51 AM,27.0 °F,15.6 °F,21.0 °F,78%,29.93 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Mostly Cloudy
2:51 AM,27.0 °F,16.1 °F,21.0 °F,78%,29.94 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Overcast
3:51 AM,27.0 °F,18.7 °F,21.0 °F,78%,29.92 in,10.0 mi,West,8.1 mph,  -,0.00 in,Snow,Light Snow
4:51 AM,28.0 °F,20.0 °F,23.0 °F,81%,29.91 in,10.0 mi,West,8.1 mph,  -,0.00 in,Snow,Light Snow
5:00 AM,28.0 °F,19.3 °F,23.0 °F,81%,29.89 in,10.0 mi,West,9.2 mph,  -,0.00 in,Snow,Light Snow
5:51 AM,28.0 °F,18.6 °F,23.0 °F,81%,29.91 in,10.0 mi,WNW,10.4 mph,  -,0.00 in,Snow,Light Snow
5:58 AM,28.0 °F,17.5 °F,23.0 °F,81%,29.88 in,10.0 mi,WNW,12.7 mph,  -,0.00 in,Snow,Light Snow
6:51 AM,28.0 °F,15.3 °F,21.9 °F,78%,29.91 in,10.0 mi,West,18.4 mph,25.3 mph,0.00 in,	 ,Overcast
7:51 AM,27.0 °F,14.3 °F,19.9 °F,75%,29.91 in,10.0 mi,West,17.3 mph,24.2 mph,N/A,	 ,Overcast
8:51 AM,27.0 °F,13.5 °F,19.9 °F,75%,29.91 in,8.0 mi,West,19.6 mph,24.2 mph,0.00 in,Snow,Light Snow
9:51 AM,26.1 °F,15.0 °F,19.9 °F,78%,29.92 in,8.0 mi,WNW,12.7 mph,19.6 mph,0.00 in,Snow,Light Snow
10:51 AM,24.1 °F,11.5 °F,18.0 °F,77%,29.93 in,10.0 mi,West,15.0 mph,21.9 mph,0.00 in,Snow,Light Snow
11:51 AM,25.0 °F,12.2 °F,17.1 °F,72%,29.90 in,10.0 mi,West,16.1 mph,23.0 mph,0.00 in,Snow,Light Snow
12:02 PM,26.1 °F,14.0 °F,17.1 °F,69%,29.87 in,9.0 mi,West,15.0 mph,21.9 mph,0.00 in,Snow,Light Snow
12:51 PM,26.1 °F,13.1 °F,16.0 °F,66%,29.87 in,10.0 mi,West,17.3 mph,25.3 mph,0.00 in,Snow,Light Snow
1:51 PM,26.1 °F,14.5 °F,17.1 °F,69%,29.86 in,10.0 mi,West,13.8 mph,21.9 mph,0.00 in,Snow,Light Snow
2:51 PM,27.0 °F,13.9 °F,18.0 °F,69%,29.86 in,9.0 mi,West,18.4 mph,23.0 mph,0.00 in,	 ,Overcast
3:22 PM,26.1 °F,12.7 °F,18.0 °F,71%,29.84 in,10.0 mi,West,18.4 mph,25.3 mph,N/A,	 ,Overcast
3:51 PM,26.1 °F,12.3 °F,18.0 °F,71%,29.87 in,10.0 mi,West,19.6 mph,24.2 mph,N/A,	 ,Overcast
4:51 PM,26.1 °F,14.0 °F,18.0 °F,71%,29.87 in,10.0 mi,West,15.0 mph,26.5 mph,N/A,	 ,Overcast
5:51 PM,25.0 °F,12.2 °F,17.1 °F,72%,29.88 in,10.0 mi,West,16.1 mph,27.6 mph,N/A,	 ,Overcast
6:51 PM,26.1 °F,15.6 °F,18.0 °F,71%,29.86 in,10.0 mi,West,11.5 mph,27.6 mph,N/A,	 ,Overcast
7:21 PM,25.0 °F,12.6 °F,18.0 °F,75%,29.83 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Scattered Clouds
7:51 PM,26.1 °F,13.6 °F,18.0 °F,71%,29.84 in,10.0 mi,WSW,16.1 mph,23.0 mph,N/A,	 ,Mostly Cloudy
8:51 PM,26.1 °F,13.1 °F,19.0 °F,75%,29.82 in,10.0 mi,WSW,17.3 mph,24.2 mph,N/A,	 ,Overcast
9:51 PM,27.0 °F,15.2 °F,21.0 °F,78%,29.81 in,10.0 mi,West,15.0 mph,23.0 mph,N/A,	 ,Overcast
10:51 PM,26.1 °F,15.0 °F,19.9 °F,78%,29.81 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Mostly Cloudy
11:51 PM,26.1 °F,14.0 °F,19.0 °F,75%,29.80 in,10.0 mi,West,15.0 mph,23.0 mph,N/A,	 ,Overcast
11:59 PM,25.0 °F,12.6 °F,19.0 °F,78%,29.77 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Overcast
