Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:48 AM,55.4 °F,51.8 °F,88%,29.97 in,10.0 mi,East,10.4 mph,  -,0.01 in,	 ,Overcast
12:52 AM,55.0 °F,52.0 °F,89%,29.97 in,10.0 mi,East,10.4 mph,  -,0.01 in,	 ,Overcast
1:52 AM,55.0 °F,52.0 °F,89%,29.96 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
2:52 AM,55.0 °F,52.0 °F,89%,29.96 in,10.0 mi,NE,8.1 mph,  -,0.00 in,Rain,Light Rain
3:49 AM,55.4 °F,51.8 °F,88%,29.95 in,10.0 mi,ENE,10.4 mph,  -,0.00 in,Rain,Light Rain
3:52 AM,55.0 °F,52.0 °F,89%,29.95 in,10.0 mi,ENE,9.2 mph,  -,0.00 in,Rain,Light Rain
4:52 AM,55.0 °F,52.0 °F,89%,29.94 in,7.0 mi,ENE,9.2 mph,  -,0.00 in,Rain,Light Rain
5:26 AM,55.4 °F,51.8 °F,88%,29.95 in,7.0 mi,ENE,8.1 mph,  -,0.00 in,Rain,Light Rain
5:52 AM,55.0 °F,52.0 °F,89%,29.95 in,7.0 mi,NE,9.2 mph,  -,0.00 in,Rain,Light Rain
6:24 AM,55.4 °F,51.8 °F,88%,29.96 in,10.0 mi,NE,9.2 mph,  -,0.00 in,	 ,Overcast
6:52 AM,55.0 °F,51.1 °F,86%,29.96 in,10.0 mi,NE,9.2 mph,  -,0.00 in,	 ,Mostly Cloudy
7:05 AM,55.4 °F,51.8 °F,88%,29.97 in,10.0 mi,NE,9.2 mph,  -,N/A,	 ,Overcast
7:27 AM,55.4 °F,51.8 °F,88%,29.97 in,10.0 mi,NE,9.2 mph,  -,N/A,	 ,Overcast
7:52 AM,55.0 °F,51.1 °F,86%,29.98 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Overcast
8:52 AM,55.9 °F,51.1 °F,84%,30.00 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Overcast
9:52 AM,55.9 °F,50.0 °F,80%,30.03 in,10.0 mi,NE,10.4 mph,  -,N/A,	 ,Overcast
10:52 AM,60.1 °F,50.0 °F,69%,30.04 in,10.0 mi,East,15.0 mph,20.7 mph,N/A,	 ,Mostly Cloudy
11:52 AM,61.0 °F,50.0 °F,67%,30.05 in,10.0 mi,NE,15.0 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,62.1 °F,48.0 °F,60%,30.04 in,10.0 mi,East,16.1 mph,20.7 mph,N/A,	 ,Mostly Cloudy
1:52 PM,63.0 °F,48.0 °F,58%,30.04 in,10.0 mi,ENE,17.3 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,64.9 °F,48.0 °F,54%,30.03 in,10.0 mi,ENE,13.8 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,66.9 °F,48.0 °F,51%,30.01 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,66.0 °F,46.9 °F,50%,30.01 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,66.0 °F,46.0 °F,48%,30.01 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,64.0 °F,46.9 °F,54%,30.03 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,64.0 °F,46.9 °F,54%,30.04 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,63.0 °F,46.9 °F,56%,30.05 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,60.1 °F,48.0 °F,64%,30.07 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
10:52 PM,59.0 °F,48.0 °F,67%,30.09 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Clear
11:52 PM,55.9 °F,48.0 °F,75%,30.10 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Clear
