Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,36.0 °F,30.3 °F,28.9 °F,76%,30.20 in,10.0 mi,WNW,6.9 mph,  -,0.00 in,	 ,Overcast
1:38 AM,35.6 °F,28.0 °F,28.4 °F,75%,30.16 in,10.0 mi,NNW,10.4 mph,  -,0.00 in,Rain,Light Rain
1:47 AM,33.8 °F,25.8 °F,26.6 °F,75%,30.17 in,7.0 mi,NNW,10.4 mph,  -,0.00 in,Rain,Light Rain
1:52 AM,34.0 °F,26.0 °F,28.0 °F,79%,30.19 in,5.0 mi,NW,10.4 mph,  -,0.00 in,Rain,Light Rain
2:52 AM,34.0 °F,27.2 °F,28.0 °F,79%,30.18 in,8.0 mi,NNW,8.1 mph,  -,0.01 in,Rain,Light Rain
3:43 AM,33.8 °F,28.6 °F,28.4 °F,81%,30.13 in,8.0 mi,NNW,5.8 mph,  -,0.00 in,	 ,Overcast
3:52 AM,34.0 °F,29.8 °F,28.0 °F,79%,30.14 in,7.0 mi,Variable,4.6 mph,  -,0.00 in,	 ,Overcast
4:52 AM,33.1 °F,24.9 °F,28.9 °F,85%,30.14 in,3.0 mi,NW,10.4 mph,  -,0.00 in,Rain,Light Ice Pellets
5:02 AM,32.0 °F,24.8 °F,28.4 °F,87%,30.11 in,2.5 mi,NNW,8.1 mph,  -,0.00 in,Rain,Light Rain
5:10 AM,32.0 °F,24.2 °F,28.4 °F,87%,30.12 in,2.0 mi,NW,9.2 mph,  -,0.00 in,Rain,Light Rain
5:27 AM,32.0 °F,23.0 °F,28.4 °F,87%,30.14 in,2.0 mi,NW,11.5 mph,  -,0.01 in,Rain,Light Freezing Rain
5:52 AM,32.0 °F,25.6 °F,30.2 °F,93%,30.12 in,2.0 mi,North,6.9 mph,  -,N/A,Rain,Light Freezing Rain
6:28 AM,32.0 °F,24.8 °F,30.2 °F,93%,30.12 in,2.5 mi,NNW,8.1 mph,  -,0.03 in,Rain,Light Freezing Rain
6:42 AM,32.0 °F,24.2 °F,30.2 °F,93%,30.13 in,3.0 mi,NW,9.2 mph,  -,0.03 in,	 ,Light Freezing Drizzle
6:47 AM,32.0 °F,24.2 °F,30.2 °F,93%,30.14 in,3.0 mi,NW,9.2 mph,  -,0.03 in,Rain,Light Freezing Rain
6:52 AM,32.0 °F,24.2 °F,30.0 °F,92%,30.16 in,3.0 mi,NNW,9.2 mph,  -,0.03 in,Rain,Light Freezing Rain
6:58 AM,33.8 °F,27.0 °F,30.2 °F,87%,30.13 in,3.0 mi,NNW,8.1 mph,  -,0.00 in,Rain,Light Rain
7:52 AM,33.1 °F,26.9 °F,30.9 °F,92%,30.15 in,2.5 mi,NNW,6.9 mph,  -,0.02 in,Rain,Light Rain
8:52 AM,34.0 °F,28.8 °F,32.0 °F,92%,30.15 in,2.0 mi,NNW,5.8 mph,  -,0.00 in,Rain,Light Rain
9:14 AM,33.8 °F,28.6 °F,32.0 °F,93%,30.12 in,3.0 mi,North,5.8 mph,  -,0.01 in,	 ,Light Drizzle
9:29 AM,33.8 °F,27.7 °F,32.0 °F,93%,30.13 in,3.0 mi,NNW,6.9 mph,  -,0.01 in,	 ,Light Drizzle
9:52 AM,34.0 °F,28.0 °F,32.0 °F,92%,30.15 in,3.0 mi,North,6.9 mph,  -,0.01 in,	 ,Light Drizzle
10:52 AM,35.1 °F,30.1 °F,32.0 °F,89%,30.14 in,4.0 mi,NNW,5.8 mph,  -,0.00 in,	 ,Light Drizzle
11:52 AM,36.0 °F,31.1 °F,33.1 °F,89%,30.12 in,5.0 mi,North,5.8 mph,  -,0.00 in,	 ,Overcast
12:03 PM,35.6 °F,31.7 °F,33.8 °F,93%,30.09 in,2.0 mi,WNW,4.6 mph,  -,N/A,	 ,Overcast
12:52 PM,35.1 °F,29.3 °F,33.1 °F,92%,30.09 in,0.5 mi,NW,6.9 mph,  -,0.00 in,	 ,Light Drizzle
12:57 PM,35.6 °F,29.2 °F,33.8 °F,93%,30.07 in,0.5 mi,NNW,8.1 mph,  -,0.00 in,	 ,Light Drizzle
1:24 PM,35.6 °F,28.6 °F,33.8 °F,93%,30.06 in,1.2 mi,North,9.2 mph,  -,0.00 in,	 ,Light Drizzle
1:52 PM,35.1 °F,29.3 °F,33.1 °F,92%,30.07 in,1.5 mi,NNW,6.9 mph,  -,0.00 in,	 ,Light Drizzle
2:18 PM,35.6 °F,30.7 °F,33.8 °F,93%,30.03 in,1.0 mi,NNW,5.8 mph,  -,0.00 in,	 ,Light Drizzle
2:32 PM,35.6 °F,30.7 °F,33.8 °F,93%,30.02 in,0.5 mi,NNW,5.8 mph,  -,0.00 in,	 ,Light Drizzle
2:52 PM,36.0 °F,30.3 °F,34.0 °F,93%,30.04 in,0.5 mi,NNW,6.9 mph,  -,0.00 in,	 ,Overcast
3:23 PM,35.6 °F,30.7 °F,33.8 °F,93%,30.01 in,1.0 mi,NNW,5.8 mph,  -,N/A,	 ,Overcast
3:52 PM,36.0 °F,  -,34.0 °F,93%,30.02 in,1.2 mi,Calm,Calm,  -,0.00 in,Fog,Overcast
4:15 PM,37.4 °F,32.8 °F,33.8 °F,87%,29.99 in,2.5 mi,WNW,5.8 mph,  -,N/A,	 ,Overcast
