Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,48.0 °F,  -,36.0 °F,63%,30.22 in,9.0 mi,North,9.2 mph,  -,N/A,	 ,Mostly Cloudy
1:28 AM,48.0 °F,  -,37.0 °F,66%,30.24 in,9.0 mi,NNE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,48.9 °F,  -,37.0 °F,64%,30.23 in,9.0 mi,North,8.1 mph,  -,N/A,	 ,Overcast
2:35 AM,48.9 °F,  -,37.0 °F,64%,30.25 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,48.9 °F,  -,37.0 °F,64%,30.25 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Mostly Cloudy
3:18 AM,48.9 °F,  -,37.0 °F,64%,30.27 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Overcast
3:53 AM,48.9 °F,  -,36.0 °F,61%,30.26 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
4:53 AM,48.9 °F,  -,37.0 °F,64%,30.27 in,9.0 mi,North,9.2 mph,  -,0.00 in,Rain,Light Rain
5:16 AM,48.9 °F,  -,37.0 °F,64%,30.28 in,10.0 mi,North,9.2 mph,  -,0.00 in,	 ,Overcast
5:42 AM,48.9 °F,  -,36.0 °F,61%,30.29 in,10.0 mi,North,12.7 mph,  -,0.00 in,	 ,Overcast
5:53 AM,48.9 °F,  -,37.0 °F,64%,30.30 in,10.0 mi,North,9.2 mph,  -,0.00 in,	 ,Overcast
6:53 AM,48.9 °F,  -,36.0 °F,61%,30.31 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
7:53 AM,48.9 °F,  -,36.0 °F,61%,30.33 in,10.0 mi,NNE,9.2 mph,  -,N/A,	 ,Overcast
8:53 AM,48.9 °F,  -,37.0 °F,64%,30.35 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Overcast
9:53 AM,48.9 °F,  -,37.0 °F,64%,30.38 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
