Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:26 AM,73.4 °F,59.0 °F,61%,30.05 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Overcast
12:52 AM,72.0 °F,60.1 °F,66%,30.01 in,10.0 mi,SE,10.4 mph,18.4 mph,N/A,	 ,Overcast
1:19 AM,71.6 °F,62.6 °F,73%,30.03 in,7.0 mi,SE,12.7 mph,20.7 mph,0.01 in,Rain,Light Rain
1:52 AM,68.0 °F,64.0 °F,87%,30.01 in,7.0 mi,ESE,6.9 mph,  -,0.05 in,Rain,Light Rain
2:11 AM,68.0 °F,64.4 °F,88%,30.04 in,10.0 mi,ESE,5.8 mph,  -,0.01 in,	 ,Mostly Cloudy
2:52 AM,66.9 °F,64.0 °F,90%,30.00 in,6.0 mi,East,8.1 mph,  -,0.01 in,Rain,Light Rain
3:52 AM,66.9 °F,64.0 °F,90%,29.99 in,6.0 mi,East,6.9 mph,  -,0.03 in,Rain,Light Rain
4:52 AM,66.9 °F,64.0 °F,90%,30.00 in,6.0 mi,East,8.1 mph,  -,0.03 in,Rain,Light Rain
5:52 AM,66.9 °F,64.9 °F,93%,30.00 in,6.0 mi,East,6.9 mph,  -,0.00 in,	 ,Overcast
6:34 AM,66.2 °F,64.4 °F,94%,30.04 in,9.0 mi,East,6.9 mph,  -,0.00 in,Rain,Light Rain
6:38 AM,66.2 °F,64.4 °F,94%,30.05 in,2.0 mi,ESE,6.9 mph,  -,0.00 in,Rain,Light Rain
6:52 AM,66.9 °F,64.9 °F,93%,30.02 in,2.0 mi,ESE,5.8 mph,  -,0.00 in,	 ,Overcast
7:22 AM,66.2 °F,64.4 °F,94%,30.05 in,0.5 mi,ESE,6.9 mph,  -,0.01 in,Rain,Light Rain
7:52 AM,66.9 °F,66.0 °F,97%,30.03 in,0.5 mi,East,8.1 mph,  -,0.08 in,Rain,Light Rain
