Time (MDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,64.0 °F,  -,48.9 °F,58%,30.07 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,60.1 °F,  -,48.9 °F,67%,30.08 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,57.0 °F,  -,50.0 °F,77%,30.10 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Partly Cloudy
3:53 AM,57.9 °F,  -,53.1 °F,84%,30.09 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Partly Cloudy
4:53 AM,57.0 °F,  -,53.1 °F,87%,30.09 in,10.0 mi,SE,10.4 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,57.0 °F,  -,54.0 °F,89%,30.10 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Scattered Clouds
6:53 AM,55.9 °F,  -,53.1 °F,90%,30.12 in,8.0 mi,SE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,61.0 °F,  -,55.9 °F,83%,30.14 in,8.0 mi,SE,11.5 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,66.9 °F,  -,52.0 °F,59%,30.14 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,71.1 °F,  -,55.0 °F,57%,30.14 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,73.9 °F,  -,57.0 °F,55%,30.13 in,10.0 mi,SE,10.4 mph,18.4 mph,N/A,	 ,Mostly Cloudy
11:53 AM,77.0 °F,  -,57.0 °F,50%,30.09 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,81.0 °F,81.0 °F,57.0 °F,44%,30.05 in,10.0 mi,SE,6.9 mph,17.3 mph,N/A,	 ,Mostly Cloudy
1:53 PM,82.9 °F,82.1 °F,55.9 °F,39%,30.04 in,10.0 mi,NE,8.1 mph,18.4 mph,N/A,	 ,Scattered Clouds
2:35 PM,86.0 °F,84.2 °F,54.0 °F,33%,30.23 in,10.0 mi,SSW,15.0 mph,29.9 mph,N/A,	 ,Mostly Cloudy
2:53 PM,87.1 °F,84.9 °F,53.1 °F,31%,29.99 in,10.0 mi,West,10.4 mph,19.6 mph,N/A,	 ,Mostly Cloudy
3:53 PM,84.0 °F,  -,51.1 °F,32%,30.00 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
4:38 PM,84.9 °F,  -,50.0 °F,30%,30.22 in,10.0 mi,Variable,3.5 mph,  -,N/A,Thunderstorm,Mostly Cloudy
4:53 PM,84.0 °F,  -,50.0 °F,31%,29.99 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,82.0 °F,81.4 °F,55.0 °F,39%,29.99 in,10.0 mi,South,17.3 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,77.0 °F,  -,51.1 °F,40%,30.01 in,10.0 mi,SSW,17.3 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,72.0 °F,  -,50.0 °F,46%,30.01 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,72.0 °F,  -,52.0 °F,49%,30.00 in,10.0 mi,SSW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,71.1 °F,  -,52.0 °F,51%,29.99 in,10.0 mi,SSW,18.4 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,70.0 °F,  -,46.0 °F,42%,29.98 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,69.1 °F,  -,44.1 °F,40%,29.96 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
