Time (MDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,73.9 °F,  -,46.9 °F,38%,29.77 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,73.0 °F,  -,51.1 °F,46%,29.77 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,70.0 °F,  -,51.1 °F,51%,29.76 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,70.0 °F,  -,51.1 °F,51%,29.74 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,71.1 °F,  -,50.0 °F,47%,29.75 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Scattered Clouds
5:53 AM,72.0 °F,  -,48.0 °F,43%,29.76 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,73.0 °F,  -,48.0 °F,41%,29.78 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,75.0 °F,  -,48.0 °F,38%,29.80 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,84.0 °F,  -,45.0 °F,25%,29.81 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,84.0 °F,  -,44.1 °F,25%,29.81 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,89.1 °F,  -,46.9 °F,23%,29.81 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,87.1 °F,  -,48.0 °F,26%,29.82 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,89.1 °F,  -,46.0 °F,22%,29.79 in,10.0 mi,WSW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,95.0 °F,  -,46.9 °F,19%,29.78 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,91.0 °F,  -,46.0 °F,21%,29.78 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
3:29 PM,88.0 °F,  -,46.9 °F,24%,30.07 in,10.0 mi,WNW,11.5 mph,21.9 mph,N/A,	 ,Mostly Cloudy
3:53 PM,89.1 °F,  -,46.9 °F,23%,29.78 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:44 PM,82.9 °F,81.8 °F,53.1 °F,36%,30.08 in,10.0 mi,SW,13.8 mph,  -,0.00 in,	 ,Overcast
4:53 PM,82.9 °F,  -,52.0 °F,34%,29.83 in,10.0 mi,SSW,16.1 mph,  -,0.00 in,	 ,Overcast
5:53 PM,71.1 °F,  -,60.1 °F,68%,29.93 in,5.0 mi,West,11.5 mph,  -,0.02 in,Rain,Light Rain
6:53 PM,71.1 °F,  -,62.1 °F,73%,29.92 in,9.0 mi,NW,8.1 mph,  -,0.05 in,Rain,Light Rain
7:53 PM,71.1 °F,  -,60.1 °F,68%,29.92 in,10.0 mi,WNW,9.2 mph,  -,0.00 in,	 ,Mostly Cloudy
8:53 PM,69.1 °F,  -,60.1 °F,73%,29.92 in,10.0 mi,WNW,9.2 mph,  -,0.00 in,Rain,Light Rain
9:53 PM,68.0 °F,  -,59.0 °F,73%,29.95 in,10.0 mi,SW,8.1 mph,  -,0.00 in,	 ,Overcast
10:53 PM,69.1 °F,  -,57.9 °F,68%,29.92 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Overcast
11:53 PM,70.0 °F,  -,57.0 °F,63%,29.92 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Overcast
