Time (MDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:33 AM,61.0 °F,52.0 °F,72%,30.22 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Overcast
12:53 AM,60.1 °F,53.1 °F,78%,30.04 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Overcast
1:19 AM,60.1 °F,53.1 °F,78%,30.22 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Overcast
1:41 AM,60.1 °F,54.0 °F,80%,30.22 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Overcast
1:48 AM,60.8 °F,53.6 °F,77%,30.23 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Overcast
1:53 AM,60.1 °F,54.0 °F,80%,30.03 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Overcast
2:19 AM,59.0 °F,55.9 °F,90%,30.22 in,8.0 mi,North,8.1 mph,  -,0.00 in,	 ,Overcast
2:45 AM,60.1 °F,57.0 °F,90%,30.23 in,2.0 mi,North,5.8 mph,  -,0.00 in,	 ,Overcast
2:53 AM,60.1 °F,57.0 °F,90%,30.03 in,1.0 mi,NE,11.5 mph,  -,0.00 in,	 ,Overcast
3:06 AM,59.0 °F,57.0 °F,93%,30.22 in,1.0 mi,NE,8.1 mph,  -,N/A,	 ,Overcast
3:22 AM,59.0 °F,57.0 °F,93%,30.23 in,1.0 mi,ENE,9.2 mph,  -,N/A,	 ,Overcast
3:28 AM,59.0 °F,57.0 °F,93%,30.22 in,8.0 mi,ENE,8.1 mph,  -,N/A,	 ,Overcast
3:53 AM,60.1 °F,55.9 °F,86%,30.03 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Overcast
4:53 AM,59.0 °F,55.9 °F,90%,30.04 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Overcast
5:19 AM,59.0 °F,55.9 °F,90%,30.24 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
5:53 AM,57.2 °F,55.4 °F,94%,30.06 in,1.0 mi,ENE,9.2 mph,  -,N/A,	 ,Overcast
6:03 AM,57.9 °F,55.9 °F,93%,30.25 in,1.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
6:53 AM,57.0 °F,55.0 °F,93%,30.07 in,1.0 mi,ENE,11.5 mph,  -,0.00 in,Rain,Light Rain
7:36 AM,55.9 °F,54.0 °F,93%,30.26 in,1.0 mi,East,15.0 mph,  -,0.06 in,Rain,Heavy Rain
7:53 AM,55.9 °F,55.0 °F,97%,30.10 in,1.0 mi,ENE,12.7 mph,  -,0.14 in,Rain,Rain
8:08 AM,55.9 °F,55.9 °F,100%,30.29 in,1.0 mi,ENE,13.8 mph,  -,0.05 in,Rain,Rain
8:53 AM,55.9 °F,55.9 °F,100%,30.14 in,1.0 mi,ENE,13.8 mph,  -,0.10 in,Rain,Light Rain
9:11 AM,57.0 °F,55.9 °F,96%,30.30 in,2.5 mi,East,11.5 mph,  -,0.03 in,Rain,Light Rain
9:51 AM,57.2 °F,57.2 °F,100%,30.30 in,2.5 mi,East,12.7 mph,  -,0.03 in,Rain,Light Rain
9:53 AM,57.9 °F,57.0 °F,97%,30.14 in,2.5 mi,East,11.5 mph,  -,0.03 in,Rain,Light Rain
9:57 AM,57.9 °F,57.0 °F,97%,30.31 in,7.0 mi,East,12.7 mph,  -,0.01 in,Rain,Light Rain
10:34 AM,59.0 °F,57.9 °F,96%,30.32 in,7.0 mi,ESE,9.2 mph,  -,0.01 in,Rain,Light Rain
10:53 AM,59.0 °F,57.9 °F,96%,30.16 in,7.0 mi,East,8.1 mph,  -,0.01 in,	 ,Overcast
11:53 AM,60.1 °F,55.9 °F,86%,30.16 in,6.0 mi,ESE,5.8 mph,  -,0.00 in,	 ,Overcast
12:13 PM,60.1 °F,57.0 °F,90%,30.31 in,6.0 mi,SSE,6.9 mph,  -,0.00 in,Rain,Light Rain
12:33 PM,63.0 °F,57.0 °F,81%,30.31 in,10.0 mi,East,8.1 mph,  -,0.00 in,	 ,Overcast
12:53 PM,64.0 °F,55.0 °F,73%,30.14 in,10.0 mi,East,6.9 mph,  -,0.00 in,	 ,Overcast
1:53 PM,66.0 °F,54.0 °F,65%,30.12 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Overcast
2:53 PM,66.9 °F,54.0 °F,63%,30.10 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Overcast
3:48 PM,64.4 °F,53.6 °F,68%,30.27 in,10.0 mi,NE,12.7 mph,  -,N/A,Thunderstorm,Thunderstorm
3:53 PM,64.9 °F,53.1 °F,65%,30.10 in,10.0 mi,NE,11.5 mph,  -,N/A,Thunderstorm,Thunderstorm
4:08 PM,62.1 °F,55.9 °F,80%,30.28 in,5.0 mi,North,12.7 mph,  -,0.00 in,Rain,Light Rain
4:15 PM,61.0 °F,55.9 °F,83%,30.28 in,3.0 mi,North,12.7 mph,  -,0.00 in,Rain,Light Rain
4:18 PM,60.1 °F,55.9 °F,86%,30.28 in,1.8 mi,North,11.5 mph,  -,0.02 in,Rain,Heavy Rain
4:19 PM,60.1 °F,55.9 °F,86%,30.28 in,1.2 mi,North,12.7 mph,  -,0.03 in,Rain,Heavy Rain
4:53 PM,59.0 °F,55.9 °F,90%,30.13 in,1.2 mi,North,10.4 mph,  -,0.33 in,Rain,Rain
5:27 PM,59.0 °F,55.9 °F,90%,30.28 in,1.2 mi,NE,8.1 mph,  -,0.03 in,Rain,Light Rain
5:44 PM,60.1 °F,57.0 °F,90%,30.28 in,2.5 mi,NE,6.9 mph,  -,0.04 in,Rain,Light Rain
5:53 PM,60.1 °F,57.0 °F,90%,30.13 in,3.0 mi,NE,5.8 mph,  -,0.05 in,Rain,Light Rain
6:00 PM,60.1 °F,57.0 °F,90%,30.28 in,3.0 mi,NE,4.6 mph,  -,0.00 in,Rain,Light Rain
6:53 PM,59.0 °F,57.0 °F,93%,30.15 in,3.0 mi,SSE,4.6 mph,  -,0.04 in,Rain,Rain
7:25 PM,59.0 °F,55.9 °F,90%,30.30 in,2.5 mi,Calm,Calm,  -,0.08 in,Rain,Rain
7:53 PM,59.0 °F,57.0 °F,93%,30.15 in,3.0 mi,South,5.8 mph,  -,0.16 in,Rain,Rain
8:53 PM,59.0 °F,55.9 °F,90%,30.14 in,10.0 mi,South,10.4 mph,  -,0.04 in,Rain,Light Rain
9:53 PM,59.0 °F,55.9 °F,90%,30.14 in,10.0 mi,SW,10.4 mph,  -,0.00 in,	 ,Mostly Cloudy
10:53 PM,59.0 °F,55.0 °F,87%,30.14 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
11:53 PM,57.0 °F,54.0 °F,89%,30.12 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
