Time (MDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,69.1 °F,  -,57.0 °F,65%,29.91 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,66.9 °F,  -,57.0 °F,70%,29.90 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,66.0 °F,  -,55.9 °F,70%,29.92 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,66.0 °F,  -,57.0 °F,73%,29.95 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,66.0 °F,  -,57.0 °F,73%,29.97 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:08 AM,66.0 °F,  -,57.0 °F,73%,30.22 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,66.0 °F,  -,57.0 °F,73%,30.01 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,66.9 °F,  -,57.9 °F,73%,30.03 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Overcast
7:53 AM,68.0 °F,  -,57.9 °F,70%,30.03 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,68.0 °F,  -,59.0 °F,73%,30.05 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Overcast
9:53 AM,71.1 °F,  -,59.0 °F,66%,30.04 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Overcast
10:53 AM,72.0 °F,  -,57.9 °F,61%,30.04 in,10.0 mi,NNW,3.5 mph,  -,N/A,	 ,Overcast
11:53 AM,75.0 °F,  -,59.0 °F,57%,30.03 in,10.0 mi,NNE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,79.0 °F,  -,57.9 °F,48%,30.01 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,78.1 °F,  -,57.9 °F,50%,30.01 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,82.0 °F,81.7 °F,57.0 °F,42%,29.99 in,10.0 mi,North,13.8 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,82.9 °F,82.1 °F,55.9 °F,39%,29.98 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,79.0 °F,  -,57.0 °F,47%,29.98 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,77.0 °F,  -,57.9 °F,52%,29.98 in,10.0 mi,North,15.0 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,78.1 °F,  -,57.0 °F,48%,30.00 in,10.0 mi,North,13.8 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,71.1 °F,  -,59.0 °F,66%,30.04 in,10.0 mi,North,15.0 mph,24.2 mph,N/A,	 ,Mostly Cloudy
8:00 PM,71.1 °F,  -,59.0 °F,66%,30.25 in,10.0 mi,North,15.0 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,69.1 °F,  -,59.0 °F,70%,30.05 in,10.0 mi,NNE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:02 PM,69.1 °F,  -,59.0 °F,70%,30.27 in,10.0 mi,NNE,6.9 mph,  -,N/A,Thunderstorm,Thunderstorm
9:15 PM,69.1 °F,  -,59.0 °F,70%,30.28 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Overcast
9:53 PM,68.0 °F,  -,60.1 °F,76%,30.09 in,10.0 mi,West,3.5 mph,  -,0.00 in,Rain,Light Rain
10:53 PM,64.9 °F,  -,62.1 °F,90%,30.09 in,8.0 mi,South,8.1 mph,  -,0.12 in,Rain,Light Rain
11:15 PM,64.9 °F,  -,62.1 °F,90%,30.31 in,8.0 mi,WSW,9.2 mph,  -,0.00 in,Rain,Light Rain
11:53 PM,64.9 °F,  -,62.1 °F,90%,30.09 in,9.0 mi,West,6.9 mph,  -,0.01 in,	 ,Overcast
