Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,3.0 °F,-11.5 °F,-0.9 °F,84%,30.10 in,0.8 mi,North,9.2 mph,  -,0.02 in,Snow,Light Snow
1:02 AM,3.0 °F,-9.3 °F,-0.9 °F,84%,29.87 in,0.8 mi,North,6.9 mph,  -,0.01 in,Snow,Light Snow
1:51 AM,3.2 °F,-9.1 °F,-2.2 °F,78%,29.88 in,1.0 mi,NNE,6.9 mph,  -,0.04 in,Snow,Light Snow
1:53 AM,3.0 °F,-10.5 °F,-2.0 °F,80%,30.11 in,1.0 mi,NNE,8.1 mph,  -,0.04 in,Snow,Light Snow
2:48 AM,3.2 °F,-9.1 °F,-2.2 °F,78%,29.90 in,0.8 mi,North,6.9 mph,  -,0.02 in,Snow,Light Snow
2:53 AM,3.0 °F,-9.3 °F,-2.0 °F,80%,30.14 in,0.8 mi,NNW,6.9 mph,  -,0.03 in,Snow,Light Snow
3:06 AM,1.9 °F,-10.6 °F,-2.0 °F,83%,29.90 in,0.5 mi,North,6.9 mph,  -,0.01 in,"Fog
	,
Snow",Snow
3:29 AM,1.9 °F,-10.6 °F,-2.0 °F,83%,29.89 in,1.0 mi,North,6.9 mph,  -,0.03 in,Snow,Light Snow
3:48 AM,1.4 °F,-9.9 °F,-2.2 °F,85%,29.91 in,1.5 mi,North,5.8 mph,  -,0.04 in,Snow,Light Snow
3:53 AM,1.9 °F,-9.2 °F,-2.0 °F,83%,30.14 in,1.5 mi,North,5.8 mph,  -,0.04 in,Snow,Light Snow
4:37 AM,1.9 °F,-7.6 °F,-2.0 °F,83%,29.89 in,2.0 mi,NNE,4.6 mph,  -,0.00 in,Snow,Light Snow
4:51 AM,1.4 °F,-9.9 °F,-2.2 °F,85%,29.92 in,2.5 mi,North,5.8 mph,  -,0.01 in,Snow,Light Snow
4:53 AM,1.9 °F,-10.6 °F,-2.0 °F,83%,30.18 in,2.5 mi,North,6.9 mph,  -,0.01 in,Snow,Light Snow
5:02 AM,1.9 °F,-11.8 °F,-2.9 °F,80%,29.92 in,1.8 mi,North,8.1 mph,  -,0.00 in,Snow,Light Snow
5:12 AM,1.9 °F,-11.8 °F,-2.9 °F,80%,29.92 in,2.0 mi,North,8.1 mph,  -,0.00 in,Snow,Light Snow
5:53 AM,1.9 °F,-9.2 °F,-2.0 °F,83%,30.20 in,1.2 mi,North,5.8 mph,  -,0.01 in,Snow,Light Snow
6:51 AM,1.4 °F,-8.3 °F,-2.2 °F,85%,29.95 in,2.0 mi,North,4.6 mph,  -,0.01 in,Snow,Light Snow
6:53 AM,1.9 °F,-7.6 °F,-2.0 °F,83%,30.20 in,2.0 mi,North,4.6 mph,  -,0.01 in,Snow,Light Snow
7:06 AM,1.9 °F,-7.6 °F,-2.0 °F,83%,29.96 in,1.2 mi,North,4.6 mph,  -,0.01 in,Snow,Light Snow
7:53 AM,1.9 °F,  -,-2.9 °F,80%,30.21 in,1.2 mi,Calm,Calm,  -,0.02 in,Snow,Light Snow
8:53 AM,3.0 °F,-4.4 °F,-2.9 °F,76%,30.25 in,1.2 mi,NE,3.5 mph,  -,0.02 in,Snow,Light Snow
9:53 AM,1.9 °F,-9.2 °F,-2.9 °F,80%,30.27 in,1.2 mi,North,5.8 mph,  -,0.02 in,Snow,Light Snow
10:53 AM,3.9 °F,-3.4 °F,-2.9 °F,73%,30.25 in,1.0 mi,NNE,3.5 mph,  -,0.01 in,Snow,Light Snow
11:43 AM,5.0 °F,  -,-2.0 °F,73%,29.97 in,1.2 mi,Calm,Calm,  -,0.01 in,	 ,Overcast
11:53 AM,3.9 °F,  -,-2.0 °F,76%,30.22 in,8.0 mi,Calm,Calm,  -,0.01 in,	 ,Overcast
12:53 PM,3.9 °F,-5.3 °F,-2.9 °F,73%,30.19 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Overcast
1:53 PM,5.0 °F,-5.6 °F,-2.0 °F,73%,30.18 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Overcast
2:53 PM,3.9 °F,-5.3 °F,-4.0 °F,70%,30.18 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,3.9 °F,  -,-4.0 °F,70%,30.20 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:53 PM,3.0 °F,-4.4 °F,-5.1 °F,69%,30.21 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,1.9 °F,  -,-5.1 °F,72%,30.21 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
6:53 PM,1.0 °F,-11.7 °F,-6.0 °F,72%,30.21 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,1.9 °F,-10.6 °F,-4.0 °F,76%,30.21 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,-0.0 °F,-11.6 °F,-6.0 °F,76%,30.19 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,1.0 °F,-12.9 °F,-5.1 °F,75%,30.19 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,-0.0 °F,-14.2 °F,-5.1 °F,79%,30.19 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Overcast
11:53 PM,-0.0 °F,-13.0 °F,-6.0 °F,76%,30.18 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Overcast
