Time (MDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,46.9 °F,  -,34.0 °F,61%,29.48 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,46.0 °F,41.0 °F,35.1 °F,66%,29.49 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,41.0 °F,35.8 °F,33.1 °F,73%,29.49 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Partly Cloudy
3:53 AM,43.0 °F,39.5 °F,30.9 °F,62%,29.48 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Partly Cloudy
4:53 AM,37.9 °F,30.5 °F,30.9 °F,76%,29.48 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,37.0 °F,29.3 °F,30.9 °F,79%,29.49 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,39.0 °F,31.8 °F,30.9 °F,73%,29.50 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,46.9 °F,  -,35.1 °F,63%,29.51 in,10.0 mi,SSE,16.1 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,55.0 °F,  -,36.0 °F,49%,29.49 in,10.0 mi,SE,18.4 mph,23.0 mph,N/A,	 ,Partly Cloudy
9:53 AM,57.0 °F,  -,37.0 °F,47%,29.50 in,10.0 mi,East,16.1 mph,  -,N/A,	 ,Scattered Clouds
10:28 AM,53.1 °F,  -,27.0 °F,37%,29.69 in,10.0 mi,NNW,28.8 mph,42.6 mph,N/A,Thunderstorm,Mostly Cloudy
10:53 AM,55.0 °F,  -,23.0 °F,29%,29.57 in,10.0 mi,NW,17.3 mph,27.6 mph,N/A,	 ,Scattered Clouds
11:53 AM,57.9 °F,  -,19.0 °F,22%,29.56 in,10.0 mi,NW,26.5 mph,32.2 mph,N/A,	 ,Scattered Clouds
12:53 PM,59.0 °F,  -,18.0 °F,20%,29.57 in,10.0 mi,WNW,24.2 mph,35.7 mph,N/A,	 ,Scattered Clouds
1:53 PM,54.0 °F,  -,17.1 °F,23%,29.60 in,10.0 mi,WNW,29.9 mph,40.3 mph,N/A,	 ,Scattered Clouds
2:53 PM,55.9 °F,  -,16.0 °F,21%,29.61 in,10.0 mi,WNW,35.7 mph,43.7 mph,N/A,	 ,Scattered Clouds
3:53 PM,55.0 °F,  -,12.0 °F,18%,29.64 in,10.0 mi,WNW,35.7 mph,51.8 mph,N/A,	 ,Partly Cloudy
4:53 PM,53.1 °F,  -,10.9 °F,19%,29.69 in,10.0 mi,WNW,39.1 mph,50.6 mph,N/A,	 ,Partly Cloudy
5:53 PM,51.1 °F,  -,10.0 °F,19%,29.76 in,10.0 mi,WNW,34.5 mph,44.9 mph,N/A,	 ,Partly Cloudy
6:53 PM,48.0 °F,  -,10.0 °F,22%,29.80 in,10.0 mi,West,26.5 mph,34.5 mph,N/A,	 ,Partly Cloudy
7:53 PM,44.1 °F,35.4 °F,12.0 °F,27%,29.83 in,10.0 mi,West,21.9 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,43.0 °F,34.0 °F,10.9 °F,27%,29.84 in,10.0 mi,West,21.9 mph,28.8 mph,N/A,	 ,Partly Cloudy
9:53 PM,42.1 °F,34.2 °F,10.9 °F,28%,29.85 in,10.0 mi,WSW,16.1 mph,25.3 mph,N/A,	 ,Partly Cloudy
10:53 PM,41.0 °F,34.7 °F,9.0 °F,27%,29.88 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Clear
11:53 PM,37.0 °F,29.8 °F,8.1 °F,30%,29.91 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Clear
