Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,26.1 °F,18.4 °F,24.1 °F,92%,30.31 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:11 AM,26.1 °F,20.5 °F,23.0 °F,88%,30.24 in,9.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:40 AM,26.1 °F,21.9 °F,23.0 °F,88%,30.25 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,27.0 °F,21.6 °F,24.1 °F,89%,30.31 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Overcast
2:03 AM,27.0 °F,20.5 °F,24.1 °F,89%,30.24 in,3.0 mi,NE,5.8 mph,  -,N/A,	 ,Overcast
2:44 AM,28.0 °F,24.2 °F,26.1 °F,92%,30.24 in,0.5 mi,ENE,3.5 mph,  -,N/A,Fog,Light Freezing Fog
2:53 AM,28.0 °F,24.2 °F,26.1 °F,92%,30.30 in,0.5 mi,North,3.5 mph,  -,N/A,	 ,Overcast
3:15 AM,28.0 °F,  -,26.1 °F,92%,30.24 in,0.2 mi,Calm,Calm,  -,N/A,Fog,Light Freezing Fog
3:22 AM,28.0 °F,  -,26.1 °F,92%,30.24 in,0.0 mi,Calm,Calm,  -,N/A,Fog,Light Freezing Fog
3:53 AM,28.9 °F,23.9 °F,26.1 °F,89%,30.29 in,0.1 mi,ENE,4.6 mph,  -,N/A,Fog,Light Freezing Fog
4:12 AM,28.0 °F,  -,26.1 °F,92%,30.22 in,0.2 mi,Calm,Calm,  -,N/A,Fog,Light Freezing Fog
4:37 AM,28.0 °F,21.7 °F,26.1 °F,92%,30.21 in,2.0 mi,South,5.8 mph,  -,N/A,	 ,Overcast
4:53 AM,28.0 °F,20.8 °F,26.1 °F,92%,30.28 in,2.0 mi,South,6.9 mph,  -,N/A,	 ,Overcast
