Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:26 AM,21.9 °F,9.2 °F,19.0 °F,89%,30.20 in,6.0 mi,NNE,13.8 mph,  -,N/A,	 ,Overcast
12:53 AM,21.9 °F,10.4 °F,19.0 °F,89%,30.32 in,5.0 mi,North,11.5 mph,  -,0.00 in,Snow,Light Snow
1:53 AM,17.1 °F,3.6 °F,14.0 °F,88%,30.38 in,5.0 mi,North,12.7 mph,  -,0.00 in,	 ,Overcast
2:53 AM,17.1 °F,5.0 °F,14.0 °F,88%,30.39 in,3.0 mi,NNE,10.4 mph,  -,0.00 in,Snow,Light Snow
3:05 AM,17.1 °F,5.0 °F,14.0 °F,88%,30.27 in,2.5 mi,NNE,10.4 mph,  -,0.00 in,Snow,Light Snow
3:53 AM,17.1 °F,5.8 °F,14.0 °F,88%,30.39 in,2.0 mi,NNE,9.2 mph,  -,0.00 in,Snow,Light Snow
4:53 AM,16.0 °F,7.4 °F,12.9 °F,88%,30.42 in,3.0 mi,North,5.8 mph,  -,0.00 in,	 ,Overcast
5:10 AM,16.0 °F,7.4 °F,12.9 °F,88%,30.28 in,2.5 mi,NNE,5.8 mph,  -,N/A,	 ,Overcast
5:18 AM,16.0 °F,8.8 °F,12.9 °F,88%,30.28 in,2.5 mi,NNE,4.6 mph,  -,0.00 in,Snow,Light Freezing Drizzle
5:36 AM,17.1 °F,11.7 °F,12.9 °F,84%,30.28 in,1.8 mi,ENE,3.5 mph,  -,0.00 in,Snow,Light Freezing Drizzle
5:53 AM,16.0 °F,8.8 °F,12.9 °F,88%,30.41 in,1.5 mi,NE,4.6 mph,  -,0.00 in,Snow,Light Freezing Drizzle
6:04 AM,17.1 °F,11.7 °F,12.9 °F,84%,30.27 in,3.0 mi,NE,3.5 mph,  -,0.00 in,Snow,Light Freezing Drizzle
6:08 AM,17.1 °F,11.7 °F,12.9 °F,84%,30.28 in,1.0 mi,NE,3.5 mph,  -,0.00 in,Snow,Light Freezing Drizzle
6:44 AM,17.1 °F,11.7 °F,12.9 °F,84%,30.27 in,0.5 mi,East,3.5 mph,  -,0.00 in,Snow,Light Freezing Drizzle
6:53 AM,17.1 °F,11.7 °F,12.9 °F,84%,30.41 in,0.5 mi,East,3.5 mph,  -,0.00 in,Snow,Light Freezing Drizzle
7:53 AM,17.1 °F,10.0 °F,12.9 °F,84%,30.43 in,0.5 mi,ESE,4.6 mph,  -,0.00 in,Snow,Light Snow
8:00 AM,17.1 °F,8.7 °F,14.0 °F,88%,30.27 in,0.5 mi,ESE,5.8 mph,  -,0.00 in,Snow,Light Snow
8:13 AM,18.0 °F,9.8 °F,14.0 °F,84%,30.27 in,0.5 mi,SE,5.8 mph,  -,0.00 in,	 ,Overcast
8:53 AM,19.0 °F,13.9 °F,15.1 °F,85%,30.40 in,0.5 mi,East,3.5 mph,  -,0.00 in,	 ,Overcast
9:33 AM,19.9 °F,11.1 °F,17.1 °F,89%,30.25 in,2.5 mi,ESE,6.9 mph,  -,N/A,	 ,Overcast
9:40 AM,21.0 °F,10.6 °F,17.1 °F,85%,30.25 in,3.0 mi,ESE,9.2 mph,  -,N/A,	 ,Overcast
9:53 AM,21.0 °F,8.6 °F,17.1 °F,85%,30.37 in,10.0 mi,ESE,12.7 mph,  -,N/A,	 ,Overcast
10:08 AM,21.9 °F,8.7 °F,18.0 °F,85%,30.23 in,7.0 mi,SE,15.0 mph,  -,N/A,	 ,Overcast
10:22 AM,21.9 °F,9.8 °F,18.0 °F,85%,30.22 in,7.0 mi,SE,12.7 mph,  -,N/A,	 ,Overcast
