Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:01 AM,9.0 °F,-6.6 °F,6.1 °F,88%,30.12 in,3.0 mi,East,12.7 mph,  -,0.00 in,Snow,Light Snow
12:53 AM,9.0 °F,-5.9 °F,6.1 °F,88%,30.10 in,3.0 mi,East,11.5 mph,  -,0.00 in,Snow,Light Snow
1:53 AM,10.0 °F,-4.5 °F,6.1 °F,84%,30.09 in,3.0 mi,East,11.5 mph,  -,0.00 in,Snow,Light Snow
2:23 AM,9.0 °F,-5.9 °F,6.1 °F,88%,30.09 in,0.8 mi,East,11.5 mph,  -,0.00 in,"Fog
	,
Snow",Light Snow
2:30 AM,10.0 °F,-2.9 °F,6.1 °F,84%,30.09 in,0.8 mi,East,9.2 mph,  -,0.00 in,"Fog
	,
Snow",Light Snow
2:41 AM,10.0 °F,-2.9 °F,7.0 °F,87%,30.10 in,0.2 mi,East,9.2 mph,  -,0.00 in,"Fog
	,
Snow",Light Snow
2:53 AM,10.0 °F,-1.9 °F,7.0 °F,87%,30.12 in,0.2 mi,East,8.1 mph,  -,0.00 in,"Fog
	,
Snow",Light Snow
3:53 AM,10.9 °F,-1.8 °F,8.1 °F,88%,30.12 in,0.2 mi,ESE,9.2 mph,  -,0.00 in,Snow,Light Snow
4:53 AM,10.9 °F,-0.8 °F,7.0 °F,84%,30.17 in,0.2 mi,East,8.1 mph,  -,0.00 in,Snow,Light Snow
5:35 AM,10.9 °F,1.4 °F,7.0 °F,84%,30.05 in,1.2 mi,ENE,5.8 mph,  -,0.00 in,Snow,Light Snow
5:53 AM,10.0 °F,0.4 °F,6.1 °F,84%,30.19 in,1.2 mi,East,5.8 mph,  -,0.00 in,Snow,Light Snow
6:19 AM,10.0 °F,-1.9 °F,6.1 °F,84%,30.04 in,1.2 mi,East,8.1 mph,  -,0.00 in,Snow,Light Snow
6:28 AM,10.0 °F,-0.9 °F,6.1 °F,84%,30.04 in,3.0 mi,East,6.9 mph,  -,0.00 in,Snow,Light Snow
6:53 AM,10.0 °F,-1.9 °F,6.1 °F,84%,30.21 in,3.0 mi,ENE,8.1 mph,  -,0.00 in,Snow,Light Snow
7:53 AM,8.1 °F,-4.3 °F,3.9 °F,83%,30.22 in,3.0 mi,East,8.1 mph,  -,0.00 in,Snow,Light Snow
8:20 AM,8.1 °F,-4.3 °F,3.0 °F,80%,30.02 in,2.0 mi,East,8.1 mph,  -,0.00 in,Snow,Light Snow
8:23 AM,8.1 °F,-3.2 °F,3.0 °F,80%,30.02 in,2.5 mi,East,6.9 mph,  -,0.00 in,Snow,Light Snow
8:25 AM,8.1 °F,-3.2 °F,3.0 °F,80%,30.03 in,1.5 mi,ENE,6.9 mph,  -,0.00 in,Snow,Light Snow
8:51 AM,8.6 °F,-1.3 °F,3.2 °F,79%,30.03 in,3.0 mi,ENE,5.8 mph,  -,0.00 in,Snow,Light Snow
8:53 AM,8.1 °F,-4.3 °F,3.9 °F,83%,30.22 in,3.0 mi,ENE,8.1 mph,  -,0.00 in,Snow,Light Snow
