Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,19.9 °F,7.3 °F,18.0 °F,92%,30.30 in,6.0 mi,East,12.7 mph,  -,0.00 in,	 ,Light Freezing Drizzle
1:43 AM,19.9 °F,7.3 °F,18.0 °F,92%,30.21 in,6.0 mi,East,12.7 mph,  -,0.00 in,	 ,Light Freezing Drizzle
1:53 AM,19.9 °F,7.9 °F,18.0 °F,92%,30.31 in,6.0 mi,East,11.5 mph,  -,0.00 in,	 ,Light Freezing Drizzle
2:23 AM,19.9 °F,7.9 °F,18.0 °F,92%,30.21 in,5.0 mi,East,11.5 mph,  -,0.00 in,	 ,Light Freezing Drizzle
2:53 AM,19.9 °F,6.7 °F,18.0 °F,92%,30.33 in,6.0 mi,East,13.8 mph,  -,0.00 in,	 ,Light Freezing Drizzle
3:53 AM,19.9 °F,7.9 °F,18.0 °F,92%,30.32 in,7.0 mi,ENE,11.5 mph,  -,0.00 in,	 ,Light Freezing Drizzle
4:49 AM,21.2 °F,10.9 °F,19.4 °F,93%,30.18 in,10.0 mi,ENE,9.2 mph,  -,0.00 in,	 ,Light Freezing Drizzle
4:53 AM,21.9 °F,11.7 °F,19.0 °F,89%,30.29 in,10.0 mi,ENE,9.2 mph,  -,0.00 in,	 ,Light Freezing Drizzle
5:53 AM,21.9 °F,11.7 °F,19.0 °F,89%,30.30 in,10.0 mi,NE,9.2 mph,  -,0.00 in,	 ,Light Freezing Drizzle
6:30 AM,21.9 °F,14.5 °F,19.0 °F,89%,30.18 in,10.0 mi,NNE,5.8 mph,  -,0.00 in,	 ,Overcast
6:53 AM,21.9 °F,  -,19.9 °F,92%,30.30 in,10.0 mi,Calm,Calm,  -,0.00 in,	 ,Light Freezing Drizzle
7:17 AM,23.0 °F,  -,19.0 °F,85%,30.18 in,10.0 mi,Calm,Calm,  -,0.00 in,	 ,Overcast
7:53 AM,21.9 °F,12.5 °F,19.9 °F,92%,30.30 in,10.0 mi,West,8.1 mph,  -,0.00 in,	 ,Overcast
8:53 AM,21.9 °F,12.5 °F,19.9 °F,92%,30.29 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Overcast
9:53 AM,21.9 °F,  -,19.9 °F,92%,30.29 in,10.0 mi,Calm,Calm,  -,0.00 in,Snow,Light Snow
10:53 AM,23.0 °F,15.8 °F,19.9 °F,88%,30.27 in,9.0 mi,North,5.8 mph,  -,0.00 in,	 ,Overcast
11:53 AM,23.0 °F,  -,19.9 °F,88%,30.24 in,6.0 mi,Calm,Calm,  -,0.00 in,Snow,Light Snow
12:49 PM,23.0 °F,  -,19.4 °F,86%,30.09 in,9.0 mi,Calm,Calm,  -,0.00 in,Snow,Light Snow
12:53 PM,24.1 °F,  -,19.9 °F,84%,30.20 in,9.0 mi,Calm,Calm,  -,0.00 in,Snow,Light Snow
1:53 PM,25.0 °F,  -,19.0 °F,78%,30.16 in,10.0 mi,Calm,Calm,  -,0.00 in,	 ,Overcast
2:53 PM,26.1 °F,20.5 °F,19.0 °F,75%,30.14 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Overcast
3:53 PM,26.1 °F,20.5 °F,19.0 °F,75%,30.13 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Overcast
4:53 PM,24.1 °F,13.7 °F,21.0 °F,88%,30.15 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
5:53 PM,24.1 °F,17.0 °F,21.0 °F,88%,30.17 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Overcast
6:30 PM,23.0 °F,  -,19.9 °F,88%,30.06 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
6:53 PM,21.9 °F,13.4 °F,18.0 °F,85%,30.17 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:07 PM,21.9 °F,15.7 °F,19.0 °F,89%,30.05 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,19.0 °F,13.9 °F,17.1 °F,92%,30.18 in,7.0 mi,NNW,3.5 mph,  -,N/A,	 ,Scattered Clouds
8:14 PM,18.0 °F,6.9 °F,15.1 °F,88%,30.07 in,6.0 mi,North,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:21 PM,19.0 °F,9.0 °F,16.0 °F,88%,30.07 in,6.0 mi,NNE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:26 PM,19.0 °F,9.0 °F,16.0 °F,88%,30.07 in,1.0 mi,NNE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:44 PM,19.9 °F,10.1 °F,18.0 °F,92%,30.08 in,0.5 mi,NNE,8.1 mph,  -,N/A,Fog,Light Freezing Fog
8:53 PM,21.0 °F,13.4 °F,18.0 °F,88%,30.20 in,0.2 mi,NNE,5.8 mph,  -,N/A,Fog,Light Freezing Fog
9:04 PM,19.9 °F,14.9 °F,18.0 °F,92%,30.09 in,1.0 mi,North,3.5 mph,  -,N/A,	 ,Scattered Clouds
