Time (MDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,63.0 °F,50.0 °F,63%,30.08 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,63.0 °F,50.0 °F,63%,30.08 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,61.0 °F,48.9 °F,64%,30.08 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,64.9 °F,48.0 °F,54%,30.06 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,66.9 °F,48.9 °F,52%,30.07 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,66.0 °F,50.0 °F,56%,30.11 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,64.0 °F,51.1 °F,63%,30.14 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,68.0 °F,55.0 °F,63%,30.14 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,71.1 °F,57.0 °F,61%,30.15 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,72.0 °F,45.0 °F,38%,30.15 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,73.0 °F,48.9 °F,42%,30.15 in,10.0 mi,East,9.2 mph,  -,0.00 in,Rain,Light Rain
11:53 AM,73.0 °F,46.0 °F,38%,30.17 in,10.0 mi,East,9.2 mph,  -,0.00 in,Rain,Light Rain
12:53 PM,66.0 °F,57.0 °F,73%,30.18 in,4.0 mi,Calm,Calm,  -,0.05 in,Rain,Rain
1:53 PM,69.1 °F,57.9 °F,68%,30.15 in,10.0 mi,NNE,6.9 mph,  -,0.05 in,	 ,Mostly Cloudy
2:53 PM,75.0 °F,51.1 °F,43%,30.11 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,77.0 °F,52.0 °F,42%,30.09 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
4:21 PM,73.9 °F,54.0 °F,50%,30.36 in,10.0 mi,ESE,23.0 mph,40.3 mph,N/A,	 ,Mostly Cloudy
4:53 PM,66.0 °F,54.0 °F,65%,30.15 in,10.0 mi,SE,26.5 mph,35.7 mph,0.00 in,	 ,Mostly Cloudy
5:53 PM,68.0 °F,55.0 °F,63%,30.12 in,10.0 mi,SSE,11.5 mph,  -,0.00 in,	 ,Mostly Cloudy
6:53 PM,69.1 °F,55.0 °F,61%,30.12 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,66.9 °F,55.0 °F,66%,30.12 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,64.0 °F,53.1 °F,67%,30.12 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,64.9 °F,54.0 °F,68%,30.12 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,63.0 °F,55.0 °F,75%,30.12 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,62.1 °F,55.0 °F,78%,30.10 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Partly Cloudy
