Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:12 AM,32.0 °F,23.0 °F,24.1 °F,73%,29.95 in,10.0 mi,WNW,11.5 mph,  -,0.00 in,Snow,Light Snow
12:42 AM,30.9 °F,21.7 °F,21.9 °F,69%,29.95 in,9.0 mi,NW,11.5 mph,  -,0.00 in,Snow,Light Snow
12:53 AM,30.0 °F,20.0 °F,21.9 °F,72%,29.98 in,9.0 mi,NW,12.7 mph,  -,0.00 in,Snow,Light Snow
1:43 AM,30.0 °F,20.5 °F,27.0 °F,88%,29.95 in,4.0 mi,WNW,11.5 mph,  -,0.00 in,Snow,Light Snow
1:53 AM,30.0 °F,21.1 °F,27.0 °F,88%,29.98 in,2.5 mi,WNW,10.4 mph,  -,0.00 in,Snow,Light Snow
2:10 AM,30.0 °F,22.4 °F,27.0 °F,88%,29.95 in,1.5 mi,NW,8.1 mph,  -,0.00 in,Snow,Light Snow
2:33 AM,28.0 °F,18.1 °F,26.1 °F,92%,29.95 in,3.0 mi,North,11.5 mph,18.4 mph,0.01 in,Snow,Light Snow
2:53 AM,28.0 °F,19.3 °F,26.1 °F,92%,29.98 in,4.0 mi,North,9.2 mph,  -,0.01 in,Snow,Light Snow
3:14 AM,28.0 °F,20.0 °F,26.1 °F,92%,29.95 in,2.5 mi,North,8.1 mph,  -,0.00 in,Snow,Light Snow
3:23 AM,28.0 °F,20.0 °F,26.1 °F,92%,29.95 in,3.0 mi,North,8.1 mph,  -,0.00 in,Snow,Light Snow
3:38 AM,28.0 °F,20.0 °F,25.0 °F,88%,29.95 in,2.5 mi,North,8.1 mph,  -,0.00 in,Snow,Light Snow
3:53 AM,28.0 °F,19.3 °F,25.0 °F,88%,30.00 in,1.2 mi,North,9.2 mph,  -,0.01 in,Snow,Light Snow
4:14 AM,28.0 °F,17.5 °F,25.0 °F,88%,29.96 in,1.0 mi,North,12.7 mph,  -,0.00 in,Snow,Light Snow
4:38 AM,28.0 °F,16.1 °F,26.1 °F,92%,29.95 in,1.5 mi,North,16.1 mph,  -,0.00 in,Snow,Light Snow
4:53 AM,28.0 °F,16.1 °F,26.1 °F,92%,30.00 in,2.0 mi,North,16.1 mph,  -,0.01 in,Snow,Light Snow
5:37 AM,28.0 °F,18.1 °F,26.1 °F,92%,29.98 in,1.8 mi,North,11.5 mph,  -,0.01 in,Snow,Light Snow
5:49 AM,28.4 °F,18.5 °F,26.6 °F,93%,29.98 in,1.0 mi,NNW,11.5 mph,  -,0.01 in,Snow,Light Snow
5:53 AM,28.0 °F,18.6 °F,26.1 °F,92%,30.03 in,0.8 mi,NNW,10.4 mph,  -,0.01 in,Snow,Light Snow
6:07 AM,28.0 °F,18.6 °F,26.1 °F,92%,29.99 in,0.8 mi,NNW,10.4 mph,  -,0.01 in,Snow,Light Snow
6:53 AM,28.9 °F,19.2 °F,26.1 °F,89%,30.05 in,0.8 mi,NNW,11.5 mph,  -,0.04 in,Snow,Light Snow
7:53 AM,28.9 °F,17.3 °F,26.1 °F,89%,30.08 in,0.8 mi,NNW,16.1 mph,  -,0.03 in,Snow,Light Snow
8:46 AM,28.9 °F,16.5 °F,27.0 °F,92%,30.06 in,0.8 mi,NNW,18.4 mph,25.3 mph,0.04 in,Snow,Light Snow
8:53 AM,28.9 °F,16.1 °F,27.0 °F,92%,30.11 in,0.8 mi,NNW,19.6 mph,  -,0.04 in,Snow,Light Snow
9:53 AM,30.0 °F,18.3 °F,27.0 °F,88%,30.14 in,0.8 mi,NNW,17.3 mph,  -,0.02 in,Snow,Light Snow
10:26 AM,30.0 °F,20.0 °F,27.0 °F,88%,30.10 in,0.8 mi,NNW,12.7 mph,  -,0.02 in,Snow,Light Snow
10:48 AM,30.2 °F,19.3 °F,26.6 °F,86%,30.10 in,1.8 mi,NNW,15.0 mph,  -,0.03 in,Snow,Light Snow
10:53 AM,30.0 °F,18.3 °F,27.0 °F,88%,30.14 in,1.8 mi,NNW,17.3 mph,  -,0.03 in,Snow,Light Snow
11:53 AM,30.9 °F,20.7 °F,27.0 °F,85%,30.11 in,10.0 mi,NNW,13.8 mph,  -,0.00 in,	 ,Overcast
12:53 PM,33.1 °F,26.1 °F,26.1 °F,75%,30.09 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Overcast
1:53 PM,33.1 °F,25.5 °F,27.0 °F,78%,30.09 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Overcast
2:53 PM,34.0 °F,27.2 °F,27.0 °F,75%,30.10 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,35.1 °F,29.3 °F,25.0 °F,67%,30.10 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,34.0 °F,28.8 °F,26.1 °F,73%,30.13 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,34.0 °F,29.8 °F,25.0 °F,70%,30.15 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Overcast
6:53 PM,33.1 °F,28.7 °F,26.1 °F,75%,30.15 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Overcast
7:53 PM,33.1 °F,26.1 °F,27.0 °F,78%,30.15 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Overcast
8:53 PM,33.1 °F,25.5 °F,26.1 °F,75%,30.15 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Overcast
9:53 PM,33.1 °F,25.5 °F,24.1 °F,70%,30.14 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Overcast
10:53 PM,32.0 °F,23.6 °F,23.0 °F,69%,30.13 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,27.0 °F,17.3 °F,19.9 °F,75%,30.13 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
