Time (MDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,57.9 °F,37.9 °F,47%,29.80 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Clear
1:53 AM,59.0 °F,37.9 °F,46%,29.78 in,10.0 mi,South,17.3 mph,  -,N/A,	 ,Clear
2:53 AM,50.0 °F,39.0 °F,66%,29.80 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Clear
3:53 AM,51.1 °F,39.9 °F,66%,29.79 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Clear
4:53 AM,50.0 °F,39.0 °F,66%,29.78 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Clear
5:53 AM,48.9 °F,37.9 °F,66%,29.78 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,55.9 °F,37.9 °F,51%,29.78 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,62.1 °F,39.0 °F,43%,29.79 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,69.1 °F,39.0 °F,33%,29.79 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,75.0 °F,37.9 °F,26%,29.76 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,79.0 °F,37.9 °F,23%,29.74 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,82.0 °F,35.1 °F,18%,29.71 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,84.0 °F,25.0 °F,12%,29.67 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
1:53 PM,84.0 °F,27.0 °F,13%,29.64 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
2:53 PM,82.9 °F,33.1 °F,17%,29.65 in,10.0 mi,ESE,16.1 mph,27.6 mph,N/A,	 ,Scattered Clouds
3:53 PM,81.0 °F,30.9 °F,16%,29.63 in,10.0 mi,SE,21.9 mph,29.9 mph,N/A,	 ,Mostly Cloudy
4:32 PM,79.0 °F,32.0 °F,18%,29.84 in,10.0 mi,SSE,18.4 mph,26.5 mph,N/A,Thunderstorm,Mostly Cloudy
4:53 PM,78.1 °F,34.0 °F,20%,29.64 in,10.0 mi,SSE,17.3 mph,  -,N/A,	 ,Mostly Cloudy
4:59 PM,78.8 °F,33.8 °F,20%,29.83 in,10.0 mi,South,15.0 mph,  -,N/A,Thunderstorm,Mostly Cloudy
5:03 PM,77.0 °F,33.1 °F,20%,29.82 in,10.0 mi,SW,26.5 mph,34.5 mph,N/A,Thunderstorm,Mostly Cloudy
5:06 PM,75.9 °F,33.1 °F,21%,29.83 in,10.0 mi,SW,26.5 mph,34.5 mph,N/A,Thunderstorm,Mostly Cloudy
5:17 PM,75.9 °F,33.1 °F,21%,29.84 in,10.0 mi,WSW,21.9 mph,29.9 mph,N/A,	 ,Mostly Cloudy
5:53 PM,73.9 °F,36.0 °F,25%,29.67 in,10.0 mi,SSW,17.3 mph,33.4 mph,N/A,	 ,Mostly Cloudy
6:53 PM,77.0 °F,35.1 °F,22%,29.61 in,10.0 mi,SSE,13.8 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,70.0 °F,37.0 °F,30%,29.62 in,10.0 mi,SSE,16.1 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,71.1 °F,35.1 °F,27%,29.61 in,10.0 mi,SSW,18.4 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,68.0 °F,36.0 °F,31%,29.60 in,10.0 mi,SSW,20.7 mph,32.2 mph,N/A,	 ,Mostly Cloudy
10:53 PM,64.9 °F,36.0 °F,34%,29.59 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,69.1 °F,35.1 °F,29%,29.57 in,10.0 mi,SW,19.6 mph,  -,N/A,	 ,Mostly Cloudy
